first_word	empirical	total_emit_count	is_claude	has_ground_truth	vote_majority	vote_weighted	vote_strength	gemma_pred	gemma_softmax	gemma_correct	qwen_pred	qwen_softmax	qwen_correct	ministral_pred	ministral_softmax	ministral_correct	gpt_oss_20b_pred	gpt_oss_20b_softmax	gpt_oss_20b_correct	granite_pred	granite_softmax	granite_correct	majority_correct	weighted_correct
(>∀<☆)	HP	1	True	False	HP	HP	2-1-1-1	HP	0.999976033525274	False	HP	0.2002857459677894	False	NB	0.4745057685660929	False	HN-S	0.2807618933981255	False	LN	0.9122124509671716	False	False	False
(>﹏<)	HN-S	25	True	True	HN-S	LN	2-2-1	HN-S	0.9081633819838792	True	HN-S	0.1854370410021316	True	LN	0.3439718729025895	False	HN-D	0.4235922245543002	False	LN	0.9939031580950574	False	True	False
(>﹏<｡)	HN-S	7	False	True	HN-S	HN-S	2-2-1	HN-S	0.6971811570884967	True	LP	0.2178352766167941	False	LN	0.3494760100523473	False	HN-S	0.3730620466031153	True	LN	0.709542174591521	False	True	True
(O_O)	HN-S	1	False	False	HN-S	HN-S	2-1-1-1	HN-S	0.8426856109918086	False	HP	0.4320871967898692	False	HN-D	0.460447393288841	False	HN-S	0.3447569320840821	False	LN	0.9505451197646562	False	False	False
(OwO)	HP	1	False	False	HP	LN	2-1-1-1	NB	0.8073617479632974	False	HP	0.5011919783100095	False	HP	0.2959054818409933	False	HN-S	0.3272926060138794	False	LN	0.92566249109385	False	False	False
(T-T)	LN	8	False	True	LN	LN	4-1	HP	0.6957226964421704	False	LN	0.5926768061041675	True	LN	0.3612671664582314	True	LN	0.2740918707372053	True	LN	0.9975907729362552	True	True	True
(T^T)	HP	1	False	False	NB	LN	3-2	NB	0.50781620033151	False	LN	0.5657890190102814	False	NB	0.3600940898749619	False	NB	0.3717242148472427	False	LN	0.9973690696014152	False	False	False
(T_T)	LN	22	False	True	LN	LN	4-1	HN-S	0.8436364112693927	False	LN	0.6279747355394224	True	LN	0.2720074597768465	True	LN	0.2818273669218412	True	LN	0.9999801603099652	True	True	True
(T▽T)	HP	2	False	False	LN	LN	2-1-1-1	HP	0.99735908679859	False	LN	0.6484353461301455	False	LP	0.4530711690271172	False	NB	0.2018404766600114	False	LN	0.9991848831279472	False	False	False
(^	nan	0	False	False	NB	NB	5	NB	0.6976301883288767	False	NB	0.5680387552304667	False	NB	0.5137210819114758	False	NB	0.2803611461186298	False	NB	0.65134539845338	False	False	False
(^-^)	LP	37	False	True	NB	NB	5	NB	0.9782748110464252	False	NB	0.6381044821849817	False	NB	0.4267812011256606	False	NB	0.3372493074412941	False	NB	0.4697093477133995	False	False	False
(^.^)	LP	2	False	False	NB	NB	4-1	NB	0.860325830715441	False	NB	0.5861026029056831	False	NB	0.4381238831995027	False	NB	0.2753473756532552	False	LP	0.7911621075608435	False	False	False
(^^)	LP	2	False	False	NB	NB	4-1	NB	0.9524937093776076	False	NB	0.4159392658372561	False	NB	0.6633283820703822	False	HP	0.2626746941278839	False	NB	0.5350809446043553	False	False	False
(^_^)	NB	44	False	True	NB	NB	5	NB	0.8523343400734438	True	NB	0.4766070760398991	True	NB	0.5738607813272855	True	NB	0.4038219544966177	True	NB	0.9502772771283428	True	True	True
(^_^;)	NB	2	False	False	LN	LN	3-1-1	HN-S	0.8132563805114382	False	NB	0.4680217551203877	False	LN	0.4970456654063313	False	LN	0.2897549206698975	False	LN	0.8474966969297385	False	False	False
(^_~)	HP	1	False	False	NB	NB	5	NB	0.931331880407806	False	NB	0.4722662632899757	False	NB	0.4659282794042546	False	NB	0.3218583486138257	False	NB	0.9601433287985296	False	False	False
(^_−)	NB	3	False	True	NB	NB	5	NB	0.5370472961042567	True	NB	0.462007113416902	True	NB	0.4834363172063126	True	NB	0.2768053363025146	True	NB	0.9556126429396244	True	True	True
(^o^)	HP	6	False	True	NB	NB	3-2	HP	0.6627025520578473	True	NB	0.5545144283897055	False	NB	0.5145742295988893	False	HP	0.359583435903528	True	NB	0.54791263935499	False	False	False
(^‿^)	LP	13	False	True	NB	NB	3-2	NB	0.5449070184926109	False	NB	0.5297178384097092	False	LP	0.5288503635746595	True	NB	0.3586169758723742	False	LP	0.8343491687963532	True	False	False
(^▽^)	NB	15	False	True	NB	NB	4-1	NB	0.6996375939727338	True	NB	0.4369102753850166	True	NB	0.4835774317459595	True	HP	0.2888422266699228	False	NB	0.742148274043382	True	True	True
(^・ω・^)	LP	2	False	False	NB	NB	4-1	NB	0.8027167176463356	False	LP	0.4594937237335956	False	NB	0.5710474615696094	False	NB	0.3343565832935103	False	NB	0.7011154358030908	False	False	False
(__)	LN	1	False	False	LN	LN	2-1-1-1	NB	0.4150384284670807	False	LN	0.4515986816100494	False	HP	0.2684299942222544	False	LP	0.2450380650245642	False	LN	0.4135050738173034	False	False	False
(`_´)	nan	0	False	False	LN	LN	4-1	LN	0.963766535104796	False	LN	0.3432860287393753	False	LN	0.5241078274187683	False	HN-S	0.2989401423307465	False	LN	0.3962210884936248	False	False	False
(`⇧´)	HP	2	False	False	LN	HP	2-1-1-1	HP	0.9097894016943692	False	LN	0.3003179971940187	False	LN	0.5335238963008428	False	HN-S	0.2712505324153666	False	NB	0.7170036692316921	False	False	False
(`⌒´)	HP	7	False	True	NB	NB	3-2	LN	0.980050890938375	False	LN	0.324152478921926	False	NB	0.4851426438816967	False	NB	0.2364858653007291	False	NB	0.7774661002960621	False	False	False
(`⌒´メ)	HP	5	False	True	LN	LN	2-2-1	LN	0.9664926471817018	False	LN	0.3625402592926411	False	NB	0.5935427370890537	False	HN-S	0.2635685552325026	False	NB	0.6319574911689444	False	False	False
(`◇´)	NB	1	False	False	NB	NB	2-1-1-1	HN-D	0.5915801875256712	False	LN	0.2924871595146626	False	NB	0.5249581568124158	False	NB	0.3208203332225802	False	LP	0.3740269382315533	False	False	False
(`へ´)	nan	0	False	False	LN	NB	2-2-1	LN	0.4388327836628594	False	LN	0.4089977729484747	False	NB	0.4435925358271548	False	HN-S	0.2609499911945713	False	NB	0.578027516297042	False	False	False
(`・ω・´)	LN	1	False	False	NB	NB	2-1-1-1	HN-D	0.5476494936601085	False	LN	0.3297362443667054	False	NB	0.4861352020204111	False	NB	0.2151599430057165	False	LP	0.6038770051099773	False	False	False
(o>ω<o)	HP	1	False	False	HP	HP	3-1-1	HP	0.9935753767192936	False	HP	0.4159511473970145	False	HP	0.5315304276384945	False	HN-D	0.2703049337990654	False	LN	0.9984484111121584	False	False	False
(o^^o)	NB	12	False	True	HP	HP	3-1-1	NB	0.9778704386270654	True	HP	0.416667317959719	False	HP	0.325133377315575	False	HP	0.3173200728431549	False	LN	0.9334211820973726	False	False	False
(o^_^o)	NB	6	False	True	NB	NB	2-1-1-1	NB	0.9715133383667592	True	HP	0.4073921387373853	False	LP	0.5318280089330942	False	NB	0.2452696815078892	True	LN	0.9770127624356908	False	True	True
(o^▽^o)	HP	2	False	False	HP	HP	3-1-1	HP	0.5338001856937182	False	HP	0.4247874162886451	False	LP	0.4013415702197168	False	HP	0.3116506010050732	False	LN	0.8069424957657421	False	False	False
(o_o)	NB	24	False	True	HN-S	HN-S	2-1-1-1	HN-S	0.9925413423873676	False	HP	0.3614331517074381	False	HN-D	0.3497973257015262	False	HN-S	0.3015622295202205	False	LN	0.9812444171630644	False	False	False
(o°ω°o)	HP	1	False	False	HN-S	LN	2-2-1	HN-S	0.942347338846082	False	NB	0.3215192101355375	False	LN	0.2153272770109883	False	HN-S	0.2455073545373318	False	LN	0.9945194101844748	False	False	False
(~^▽^)~	LP	1	False	False	HP	LP	2-2-1	HP	0.7178764366444315	False	HN-S	0.2564587750170814	False	LP	0.6149648850240297	False	HP	0.2455217357483007	False	LP	0.4797689396990855	False	False	False
( *▽)	LP	1	False	False	HP	HP	2-2-1	HP	0.9939759179580234	False	NB	0.1908166903663969	False	HP	0.5184868202511284	False	LP	0.3564662015197353	False	LP	0.7635346853805757	False	False	False
(¬_¬)	HN-D	14	False	True	HN-D	HN-D	4-1	HN-D	0.9417255779725164	True	HN-D	0.190381437578515	True	HN-D	0.4396222702796462	True	HN-D	0.2977775975572908	True	LN	0.5088904987834926	False	True	True
(¬‿¬)	NB	15	True	True	HN-D	LN	2-2-1	NB	0.9913721563354144	True	HN-D	0.1967445525243429	False	LN	0.2831979562508749	False	HN-D	0.2611299585606706	False	LN	0.8841111070692113	False	False	False
(¬､¬)	nan	0	False	False	HN-D	LN	2-1-1-1	NB	0.6147310263956768	False	HN-S	0.2142968678740727	False	HN-D	0.38591507986254	False	HN-D	0.2966903607608595	False	LN	0.8799099416956968	False	False	False
(¯`·._.·(¯)	LP	1	False	False	NB	NB	3-1-1	NB	0.9984806483683188	False	LP	0.2240659270769021	False	NB	0.4647967669971618	False	LN	0.3250906279170016	False	NB	0.7450643289599641	False	False	False
(¯`·._.·(¯)___)	NB	1	False	False	NB	NB	3-1-1	NB	0.9937353491795498	False	NB	0.2237287359967179	False	LP	0.363377487199	False	LN	0.2918069310707322	False	NB	0.6005106251589217	False	False	False
(¯`・.¸)	HP	1	False	False	NB	NB	3-1-1	NB	0.985837009290406	False	HP	0.2264079607203092	False	NB	0.6140092856822088	False	LN	0.3135666667976379	False	NB	0.7728181037239412	False	False	False
(¯`・.｡)	HP	1	False	False	NB	NB	3-1-1	NB	0.9887319704152956	False	HP	0.2100440020948288	False	NB	0.7115126928010381	False	NB	0.2768233912874093	False	LP	0.5829948652239733	False	False	False
(¯▽¯)	HP	1	False	False	NB	NB	3-1-1	NB	0.9856735332157684	False	LP	0.1993983527686969	False	NB	0.4616511676232516	False	LN	0.3026963723976762	False	NB	0.6278254527208824	False	False	False
(¯︎_¯︎)	HN-S	1	False	False	NB	LN	2-2-1	NB	0.9993267153421532	False	HN-D	0.2330039831009329	False	LN	0.7232496110763731	False	NB	0.2506004817076907	False	LN	0.9513848949586632	False	False	False
(¯︵¯)	LN	1	False	False	LN	LN	3-1-1	NB	0.5859034134532679	False	HN-D	0.2004073376010714	False	LN	0.4492623808229823	False	LN	0.3217308889707343	False	LN	0.7508250711315946	False	False	False
(¯︿¯)	LN	3	False	True	LN	LN	3-1-1	NB	0.4679576416021496	False	HN-D	0.2509332938809149	False	LN	0.4819312826421129	True	LN	0.3134686037886027	True	LN	0.902306035708386	True	True	True
(¯﹏¯)	HN-D	1	False	False	HN-D	LN	2-2-1	HN-S	0.6007955783964174	False	HN-D	0.2477175505056915	False	HN-D	0.4352490698313758	False	LN	0.3804607020153918	False	LN	0.9012043947592387	False	False	False
(°_°;)	HN-S	1	False	False	HN-S	HN-S	2-1-1-1	HN-S	0.9989622511835068	False	HP	0.1884162026078107	False	HN-D	0.4869869942738301	False	HN-S	0.3750370405699632	False	LN	0.8770097908757456	False	False	False
(°д°)	HN-S	3	False	True	HN-S	LN	2-1-1-1	HN-S	0.5378002096384862	True	HP	0.2067096665050251	False	NB	0.3868638152447436	False	HN-S	0.426596990710703	True	LN	0.9680755718646956	False	True	False
(°д°;)	HN-S	1	False	False	LN	LN	2-1-1-1	HN-D	0.6516405254535984	False	HP	0.1972145969811219	False	LN	0.3868308182562396	False	HN-S	0.4487439275117785	False	LN	0.9970940025209212	False	False	False
(°□°)	nan	0	False	False	HN-S	HN-S	2-1-1-1	HN-S	0.7515982995388749	False	HP	0.2346245577861113	False	HN-D	0.3648357673990311	False	HN-S	0.3819933978641204	False	LN	0.6814035540056537	False	False	False
(°□°;)	HN-S	2	True	False	HN-S	HN-S	2-1-1-1	HN-S	0.9380077663900525	False	HP	0.2108665021225193	False	HN-D	0.6373120768696705	False	HN-S	0.4556200588921474	False	LN	0.9939358894024198	False	False	False
(°△°)	nan	0	False	False	NB	LN	2-1-1-1	HN-D	0.6577492041750018	False	NB	0.1859578355714272	False	NB	0.392259943312673	False	HN-S	0.3685464734902255	False	LN	0.9892510686258044	False	False	False
(°▽°)	nan	0	False	False	HP	HP	3-1-1	HP	0.7932792393332231	False	HP	0.2498932084200393	False	NB	0.5475777908018984	False	HP	0.2778506953027071	False	LP	0.4957660080589625	False	False	False
(°◇°)	NB	7	False	True	HN-S	HN-S	2-1-1-1	HN-S	0.9191185108045804	False	HP	0.2184162228830373	False	NB	0.6424222877638834	True	HN-S	0.2888501023508588	False	LP	0.5189942380792704	False	False	False
(°〇°)	HP	4	True	True	HN-S	HN-S	2-1-1-1	HN-S	0.7542721321869644	False	HP	0.2017482197899094	True	NB	0.4910925390469016	False	HN-S	0.3812105762316881	False	LN	0.5783683734323583	False	False	False
(°ロ°)	HN-S	3	False	True	HN-S	HN-S	2-1-1-1	HN-S	0.9339101235330494	True	HP	0.2431500250730888	False	NB	0.4878309883321724	False	HN-S	0.2579784618132016	True	LN	0.9546062756863192	False	True	True
(°ヮ°)	nan	0	False	False	NB	NB	3-1-1	NB	0.8600416827358136	False	HP	0.2266888221146656	False	NB	0.4098190269787704	False	NB	0.2282109959964651	False	LN	0.4734245707783827	False	False	False
(°ー°ll)	LN	1	False	False		LN	1-1-1-1-1	HN-D	0.556857589601847	False	HP	0.260458772963576	False	NB	0.4958268687111171	False	HN-S	0.3263390977318647	False	LN	0.7953711986834351	False		False
(°ー°|||)	LN	1	False	False	HN-S	HN-S	2-1-1-1	HN-S	0.8940566117544395	False	HP	0.2203129182957768	False	NB	0.3054309673352858	False	HN-S	0.3596115109416537	False	LN	0.85233247917747	False	False	False
(°ー°〃)	LN	4	False	True	NB	NB	2-1-1-1	NB	0.4424235741606154	False	HP	0.2153710847240373	False	NB	0.4400150495083895	False	HN-S	0.3244104144581972	False	LN	0.7683934348995131	True	False	False
(´	nan	0	False	False	LN	LN	3-1-1	LN	0.6800799266296056	False	LP	0.1875135426656723	False	LN	0.3577786454584283	False	HN-D	0.210534322472812	False	LN	0.9541833291330696	False	False	False
(´-`)	LN	6	True	True	LN	LN	2-2-1	LN	0.98197008050676	True	HN-D	0.1915853097342206	False	NB	0.362468544470708	False	LN	0.397796051842351	True	NB	0.884528679410794	False	True	True
(´-ω-`)	LN	3	True	True	LN	LN	3-1-1	LN	0.9956171696010884	True	LP	0.2051537411278188	False	NB	0.4384846369786851	False	LN	0.3511837057426995	True	LN	0.6470226329063729	True	True	True
(´-﹏-`;)	LN	1	True	False	LN	LN	4-1	LN	0.9837629363670872	False	HN-D	0.2288993811645094	False	LN	0.4165295803018529	False	LN	0.4173538663234477	False	LN	0.9283818356105922	False	False	False
(´;ω;`)	LN	13	True	True	LN	LN	4-1	LN	0.9993462181622824	True	HN-D	0.2113183483380011	False	LN	0.6816034946219205	True	LN	0.3371145302839645	True	LN	0.9615238321983988	True	True	True
(´_ゝ`)	nan	0	False	False	LN	LN	4-1	LN	0.9055241992386108	False	LN	0.1854606629542198	False	NB	0.4890279937968517	False	LN	0.2605029615747576	False	LN	0.7702402073232253	False	False	False
(´`;ω;´)	HN-D	1	False	False	LN	LN	3-1-1	LN	0.9959941466377166	False	LN	0.2081854519017587	False	LN	0.6569809462027878	False	HN-S	0.3342453320494112	False	HP	0.7163248943592535	False	False	False
(´°̥̥̥̥̥̥	HN-D	1	True	False	HN-D	LN	3-1-1	LN	0.9361866622494984	False	HN-D	0.1903413800003827	False	HN-D	0.4137006285643057	False	HN-D	0.3303134481518478	False	LP	0.8998322948306631	False	False	False
(´°ω°`)	nan	0	False	False	HN-D	HN-D	2-1-1-1	HN-D	0.9233852765710694	False	HP	0.2182433729365782	False	HN-D	0.3816819261687292	False	HN-S	0.3344928286125876	False	LP	0.8201827526869616	False	False	False
(´·_·`)	nan	0	False	False	LN	LN	3-2	LN	0.8502677801188675	False	HN-D	0.1851737106052889	False	HN-D	0.6340296283658522	False	LN	0.2969351013594631	False	LN	0.6413661733438955	False	False	False
(´˘`)	LP	1	True	False	LP	LP	2-2-1	LP	0.8298211279494511	False	HP	0.1877252695763272	False	NB	0.3888861579359482	False	LP	0.367884577219324	False	NB	0.6801821433761982	False	False	False
(´ω`	nan	0	False	False	LP	LP	4-1	LP	0.5176943051526703	False	LP	0.2275983159963981	False	NB	0.3790421503328708	False	LP	0.4193564168527673	False	LP	0.8160330770534019	False	False	False
(´ω`)	LN	48	False	True	LP	LP	3-1-1	LN	0.5968756010785985	True	LP	0.2258084691231903	False	NB	0.4699581095381323	False	LP	0.4684594795474386	False	LP	0.8173136311189219	False	False	False
(´д`)	HN-S	1	False	False	HN-D	LN	2-2-1	HN-D	0.566742987568383	False	HN-D	0.1993841569189338	False	LN	0.4146350986518889	False	HN-S	0.4030468197158726	False	LN	0.6828896913174922	False	False	False
(´д`;)	nan	0	False	False	LN	LN	2-2-1	LN	0.6283168260421974	False	HN-D	0.2170984728390696	False	HN-D	0.40228528373749	False	HN-S	0.4032863796769225	False	LN	0.6510608622606409	False	False	False
(´ུ`っ)	HN-S	1	False	False	LN	LN	2-1-1-1	LN	0.6869976968195961	False	HN-D	0.2126298361748674	False	LN	0.6596201096393534	False	HN-S	0.3312891846481975	False	LP	0.495937195288202	False	False	False
