first_word	soft_assignment	soft_margin	proto_sim_HP	proto_sim_LP	proto_sim_HN-D	proto_sim_HN-S	proto_sim_LN	proto_sim_NB	qwen_profile_cos	qwen_emission_HP	qwen_emission_LP	qwen_emission_HN-D	qwen_emission_HN-S	qwen_emission_LN	qwen_emission_NB
(｡♥‿♥｡)	LP	0.0026503416510983424	0.8910643974049255	0.8937147390560238	0.7255840616608362	0.7633450026258403	0.7727087784325346	0.8803621987495754	0.47115354741870996	0.0	4.0	0.0	0.0	0.0	0.0
(￣ω￣)	NB	0.0618059044770819	0.7571431528109607	0.8259467323056867	0.7189292522254038	0.7708818633754643	0.7786801278512668	0.8877526367827686							
(´ω`)	LP	0.023127246183187955	0.8608330518666005	0.8978364341275714	0.6980698900574139	0.7536926803363109	0.7775411006857309	0.8747091879443835							
(´・_・`)	NB	0.02108381798242387	0.7421236094074327	0.7680022196883717	0.718946831631741	0.7426177175763412	0.7456595165924167	0.7890860376707955							
(✧ω✧)	NB	0.040787740712814546	0.784124461986597	0.8145187991674202	0.7297177809326029	0.7570307153365584	0.7590988934017593	0.8553065398802348	0.008901034143308987	2.0	0.0	0.0	0.0	0.0	0.0
ヽ(´▽`)/	HP	0.02281394903589795	0.8595235824867883	0.8367096334508903	0.7054724082222903	0.726301049582074	0.7316946199287314	0.8296128522549365							
(˘ω˘)	LP	0.007938145175523714	0.846307962114268	0.8940250814332931	0.6992151355877088	0.7580888764518884	0.7848699830127763	0.8860869362577694							
(⊙_⊙)	NB	0.04108046763099571	0.8255515055439981	0.8540634541082783	0.7481702506009148	0.7792707385910563	0.7817342526637776	0.895143921739274	0.7282150557880004	0.0	0.0	0.0	0.0	0.0	1.0
(╭ರ_・́)	NB	0.027809747864053658	0.8475193456219182	0.8588685691229178	0.7428271950411368	0.7951423837179332	0.7931729686744171	0.8866783169869714							
٩(◕‿◕)۶	NB	0.02084510466307299	0.8531561651523002	0.8766642148756787	0.7174736047045839	0.7704468420717027	0.781949022900528	0.8975093195387517							
(°ロ°)	NB	0.041743350052870776	0.7592564760050087	0.7910436868787353	0.7708036777725348	0.8060006088196686	0.7829291175313493	0.8477439588725394	0.20397838382588554	0.0	0.0	0.0	3.0	0.0	0.0
(´▽`)	NB	0.004596561613930961	0.848175530559367	0.8671968039472533	0.7266507442068739	0.7591427186740357	0.7717991171531188	0.8717933655611843							
(◜‿◝)	NB	0.022456790856115072	0.8594349858550606	0.8750243407222293	0.7610070811719835	0.7851190345285627	0.7911140463848517	0.8974811315783444							
(=^・ω・^=)	NB	0.04802652584150402	0.8147048298879002	0.8338843867103047	0.723570097985612	0.7487020689768997	0.7535067451282361	0.8819109125518088	0.4037963796884802	0.0	11.0	0.0	0.0	0.0	1.0
(ᵔ‿ᵔ)	NB	0.03603670473122911	0.8276509172473006	0.8362453366139779	0.7445490004628909	0.7779097498041031	0.7757896115004609	0.872282041345207							
(◕▽◕)	HP	0.012573512876087434	0.8680116375301032	0.8461697813863196	0.7281156119618111	0.7514616049971188	0.7471872203416913	0.8554381246540158							
(;・∀・)	LN	0.009766157800477737	0.7401944902273114	0.7675074002242317	0.7805465820080997	0.8038703513330272	0.8154090209093086	0.8056428631088308							
(づ｡◕‿‿◕｡)	NB	0.001104826312078644	0.8021320256686186	0.8359350185100691	0.713128080837702	0.7324225837028795	0.742860659607515	0.8370398448221478							
(ノ◕ヮ◕)	HP	0.02688040838902983	0.8783783997553567	0.8514979913663269	0.6980822368829827	0.7418305689082652	0.7452179887995244	0.846548447839063							
ヾ(＾∇＾)	NB	0.03868829034727428	0.7592428820302655	0.7914541730640224	0.7456281887981365	0.7592101842990052	0.762565595314257	0.8301424634112967							
(´-ω-`)	NB	0.02406320695489339	0.8064229204611939	0.8776071408317802	0.7498782022764504	0.7838584406766298	0.8146594611055341	0.9016703477866735							
(˶ˆᗜˆ˵)	HP	0.022964525080770848	0.8842816277249774	0.8613171026442066	0.7177148894612126	0.7563512549777789	0.7600361990230805	0.858038320209608							
(˶ᵔ‿ᵔ˶)	NB	0.02246615286652187	0.8572470201159531	0.8621932782332908	0.7166309351075674	0.7616846653226022	0.7591379766226785	0.8846594310998127							
(≧▽≦)	NB	0.003276144292893801	0.8679943304637356	0.9030602718681718	0.7280519323342827	0.7779050053205547	0.8007949762667003	0.9063364161610656	0.3246266840182711	15.0	1.0	0.0	0.0	0.0	1.0
(｡・́︿・̀｡)	NB	0.02738048011122851	0.8168640925306072	0.8533452216498045	0.8008079516779639	0.8347926926546076	0.849610270190499	0.880725701761033	0.17230136473010427	0.0	0.0	0.0	2.0	22.0	0.0
(ﾉωﾉ)	LP	0.02740599576625058	0.7959643287805782	0.8411063139515325	0.7164713442625774	0.7716270817228099	0.793493468456962	0.8137003181852819							
(￣ヘ￣;)	NB	0.038922673522766016	0.7171862367491411	0.7340784803200993	0.7477275718413503	0.7422659948339543	0.7248784788378899	0.7866502453641163							
ヽ(´ー`)ノ	NB	0.05589732568033279	0.7306642628018193	0.7408369301739732	0.7584000413321297	0.7635767395625191	0.7554521810698168	0.8194740652428519							
ヽ(・∀・)ﾉ	HP	0.013416236612221133	0.8848263265066477	0.8714100898944266	0.7044137366517061	0.7510167548991309	0.7611537104363814	0.866375318727445							
(;´д`)	NB	0.044087186077192975	0.7676206101540831	0.8227102688422622	0.7773320272302915	0.8226823450807141	0.834247864838489	0.878335050915682	0.18879988474031095	0.0	0.0	4.0	15.0	39.0	0.0
(◠‿◠✿)	NB	0.006095669475153276	0.8658688319796788	0.8954910775683398	0.729264691967388	0.7872151595539782	0.7995046819533526	0.9015867470434931							
(・_・?)	NB	0.008252477810812842	0.840377062995203	0.8309297070313088	0.693346480163896	0.7388984296259541	0.7357993035327257	0.8486295408060158	0.4960202610265024	0.0	0.0	0.0	0.0	0.0	1.0
(・̀ω・́)	NB	0.00703402300946232	0.8372848365105826	0.8922427922029053	0.7340086529898098	0.7986858091703375	0.8158192859722652	0.8992768152123676	0.5006933860751108	0.0	0.0	0.0	1.0	0.0	4.0
(・́⌓・̀)	NB	0.05177640450082044	0.7374883654970561	0.7626841355875177	0.7694233355250182	0.7621482086079283	0.7721306867513312	0.8239070912521517							
(｡・́‿・̀｡)	LP	0.005937339200809855	0.823577934840273	0.8774355789643641	0.7258472492276982	0.7713821490224676	0.8023277825301192	0.8714982397635542							
(ﾟ▽ﾟ)	HP	0.025007343017767747	0.8986635853350821	0.8701273043491916	0.719644659528032	0.7605453859420614	0.760824371576301	0.8736562423173143							
(￣^￣)	NB	0.039746893209867906	0.7195990098255517	0.7687474694969074	0.7386268574137383	0.7552040674191971	0.7589000102915405	0.8084943627067753							
(￣~￣;)	NB	0.04566984734823831	0.7898328957886711	0.8520408405312998	0.7405612014935931	0.7834149181120899	0.8022524980227115	0.8977106878795381							
(￣ヘ￣)	NB	0.03326018424954025	0.7856478852839871	0.8700167441389018	0.7429982641407852	0.7929349013897432	0.8282590247147303	0.9032769283884421							
ヾ(≧▽≦)	HP	0.02025741979429796	0.8819534757212028	0.8616960559269048	0.7089080940523066	0.738846843095945	0.7449092669158806	0.8483307691830004							
(-_-;)	NB	0.012496977379891527	0.6928392120743249	0.7299326207568648	0.7684579257844216	0.7820268614991462	0.7834278611440098	0.7959248385239013							
(´-`)	NB	0.014552565838075515	0.7463217682804782	0.8104619974460314	0.7684927473756439	0.8031157857883243	0.8319664030519796	0.8465189688900551							
(˃‿˂)	HP	0.04478319203974146	0.8862643334801904	0.8317449696357387	0.7151694626354623	0.7539389644360036	0.7399488604498962	0.8414811414404489							
(⌒‿⌒)	NB	0.026072015468399656	0.8485880203714635	0.8632958041531398	0.7151922586283738	0.7595865697037848	0.7637735197097502	0.8893678196215394	0.5822613793773692	0.0	0.0	0.0	0.0	0.0	1.0
(◕ω◕)	HP	0.012416948039732256	0.8211267541841266	0.7810495863315264	0.7411358453063119	0.7692886931868853	0.7309529777934363	0.8087098061443944							
(☞ﾟヮﾟ)	NB	0.027240983371320637	0.8408052094722966	0.8919863579181878	0.7424469777092866	0.8001220280494475	0.8262147029948614	0.9192273412895084							
(・̀‿-)	NB	0.03401281576441917	0.8328716316153886	0.8709193137751345	0.7475618532086916	0.7809072842177923	0.7958211690578864	0.9049321295395537							
(・ω<)	LP	0.00333955078959125	0.8669666178625981	0.8877687516121368	0.7131217173226655	0.7578293847065888	0.7762765895306472	0.8844292008225455							
(￣ω￣;)	NB	0.01741537444163266	0.8560842249726914	0.8751161143885163	0.7286252732607312	0.7650890202639842	0.7797988654328726	0.892531488830149							
٩(｡・́‿・̀｡)۶	NB	0.012231753204139162	0.7621268741625249	0.7858401886133581	0.6968699991065329	0.7146886423734544	0.7219074669466726	0.7980719418174973							
ヽ(>∀<☆)ノ	NB	0.030833724468999457	0.8121641025833914	0.807675480660588	0.7048498706981642	0.7363610792078862	0.7239793817660061	0.8429978270523909							
ヽ(°〇°)ﾉ	HP	0.04687634085475878	0.8992342220401573	0.8473484537927878	0.725068716859393	0.7612176293221229	0.7480588582751934	0.8523578811853986							
(._.)	NB	0.07318628547398698	0.7263728501801704	0.7535389693725089	0.7474219697145068	0.7546485568685918	0.7531659920896725	0.8278348423425788							
(>﹏<)	NB	0.07368246365357711	0.6892128491779834	0.7513557563207991	0.7310271661239084	0.7442179492181766	0.7496438805738015	0.8250382199743762	-0.04667801107731565	0.0	0.0	0.0	5.0	0.0	0.0
(´・‿・`)	NB	0.021213368606224692	0.8174667623950315	0.8537393183850011	0.7352733040978835	0.784516785638953	0.7963988135271902	0.8749526869912257							
(˘・_・˘)	NB	0.028464231579933275	0.8359901930765723	0.8789163636211336	0.7959034729381301	0.8332208388863457	0.8553721789011455	0.9073805952010668							
(ฅ́˘ฅ̀)	LP	0.029484975635540867	0.8009425954931148	0.8304275711286556	0.683337128965288	0.7307312586555519	0.7477040089982279	0.7937199289142511							
(งᵒ̌皿ᵒ̌)	HP	0.027797417501868593	0.8618334007103853	0.8084255186669184	0.6988580279772664	0.7416524625508998	0.7165452177043535	0.8340359832085167							
(╯✧∇✧)	NB	0.0013449536925229655	0.8708261688242657	0.8839558573208977	0.7398294394868571	0.7818143131303902	0.7945735790058799	0.8853008110134206							
(╹ω╹)	NB	0.017268598544626923	0.8497646303100679	0.8833985091254085	0.71262175317997	0.7680347521940614	0.7865103546562277	0.9006671076700354							
(・̀ㅂ・́)	NB	0.012202589074263859	0.8316357376390748	0.9087017492298974	0.7204322611653701	0.7875006284452832	0.8131496731915173	0.9209043383041613							
(・ε・)	NB	0.061508248625973705	0.7975644419413888	0.8358231094858981	0.7810322144532241	0.7884311035095399	0.8004097319864493	0.8973313581118718							
(・﹏・)	NB	0.044910511331392344	0.8121962888101637	0.8475560336975673	0.7154694336824113	0.7719477846925346	0.7709310852899418	0.8924665450289596							
(灬°‿°灬)	HP	0.001668911419387964	0.8739420058793178	0.8722730944599298	0.7042174111864579	0.7406908050805158	0.756330204913293	0.8399919281662549							
ヾ(⌐■_■)ノ♪	NB	0.004267330049741891	0.8078206451243418	0.8152482291198004	0.6899739646475352	0.7137532389296474	0.7205517032964783	0.8195155591695423							
＼(^	HP	0.07858013642667738	0.8995292850217483	0.8117873138105592	0.7059914528170858	0.7350723115206205	0.7197419378101128	0.820949148595071							
((✿◕‿◕))	HP	0.026302306585434754	0.8823607715471384	0.8560584649617037	0.7073718483104511	0.753474142331916	0.7500113524038104	0.8554667962143263							
(..)	NB	0.005047804573526271	0.7322525656681468	0.7910043395475449	0.7924765157214699	0.8128247045567285	0.8368572090583791	0.8419050136319054							
(/▽＼)	LP	0.031541801026180205	0.8810607661636906	0.9126025671898708	0.7041667642451118	0.7546409260414363	0.7837830590779327	0.837322128180254							
(;′⌒`)	LP	0.00012747230699206025	0.7874908283941677	0.8906426542337151	0.7442629226537556	0.8173319841903056	0.8588173571763662	0.8905151819267231	-0.2843787064218546	0.0	0.0	5.0	12.0	7.0	0.0
(;へ:)	LN	0.00751435912031817	0.7143486932898688	0.7479934495554443	0.730160953841939	0.7684156946066005	0.7759300537269187	0.7632311795645412							
(;一_一)	LP	0.0019596335657158237	0.8634009015904942	0.9067076034588573	0.7379677335374133	0.7805746274820264	0.813798771948242	0.9047479698931414	-0.42072032178473273	0.0	0.0	0.0	2.0	2.0	0.0
(;￣д￣)	NB	0.03219012942745969	0.7545090421294345	0.816299032257054	0.7536063915402109	0.8083516893959026	0.8193706110621944	0.8515607404896541							
(=^・ｪ・^=)	NB	0.029427784281480407	0.8055693155562718	0.8769883237461779	0.7406123150601774	0.7922182862473106	0.8113907877511399	0.9064161080276583							
(=`ω´=)	HP	0.007332960659164445	0.8422688509736206	0.8125213692298658	0.693331436576408	0.7334551061447402	0.7194712257435469	0.8349358903144561							
(>_<)	NB	0.007044491213946236	0.7503350702623892	0.8478016728735189	0.7210441239049209	0.772443915142706	0.8209165967069354	0.8548461640874652	-0.18740887375779236	0.0	2.0	2.0	67.0	1.0	2.0
(>ω<)	HP	0.024384374145789867	0.8982754624782336	0.8738910883324438	0.7176612807117476	0.7654549384051571	0.7647020683289806	0.8714173641457356	0.38369470830936014	0.0	1.0	0.0	0.0	0.0	0.0
(¬､¬)	NB	0.006696012422019115	0.7715631536163292	0.8034621373874764	0.7804356241613365	0.8481942989714052	0.8260526776178253	0.8548903113934243							
(°△°)	NB	0.0020940339688343412	0.8109897872648775	0.9027828193495848	0.7372137387504031	0.7915478204740479	0.8316264624389383	0.9048768533184192							
(°ヮ°)	NB	0.06137421190278869	0.7521361991607818	0.8416826024059336	0.7420443636124996	0.7764226931039162	0.7992953466947403	0.9030568143087223							
(°ー°〃)	HP	0.03519529342966343	0.8646676718604748	0.8111537681757266	0.6972094366361802	0.7460007269291578	0.720604045770687	0.8294723784308113							
(´;ω;`)	NB	0.009951231832569851	0.7482463343431669	0.7951027613857269	0.7622324952173739	0.8084617251476462	0.8212612622893533	0.8312124941219231							
(´_ゝ`)	NB	0.01967360458698253	0.8717577037781592	0.8636671228830219	0.7325430308574896	0.7816248340197403	0.7743257127137311	0.8914313083651417							
(´∀`;)	LP	0.024453860900064295	0.8333653594920589	0.8892956507565942	0.6844520318320777	0.7404797818640588	0.7735254321048677	0.8648417898565299							
(´∇`)	HP	0.02171275393458516	0.9059135269575589	0.8777933391732144	0.7162151119736293	0.7688450851770192	0.7714769670334187	0.8842007730229737							
(´◕ω◕`)	NB	0.0402352686452323	0.7860004115113715	0.8628139357290329	0.7324428936339011	0.7920022303734774	0.8196593480918591	0.9030492043742652							
(´ヘ`;)	NB	0.04818810613114677	0.8350269618910486	0.8528189412244227	0.7313228861065157	0.7787750428919707	0.7933336675645571	0.9010070473555695							
(´・ω・)	NB	0.022799263961610916	0.8345491467745478	0.8546446294331647	0.7164919820817229	0.7661504680464902	0.778893579864351	0.8774438933947756							
(´ー`)	LP	0.016649331550359747	0.8548494082738104	0.8955234832842919	0.7319896647919215	0.754745452376345	0.7768711444384147	0.8788741517339321							
(´꒳`)	LP	0.009989248832548037	0.8649730284200076	0.8916569498890545	0.7091162091172111	0.7623028813851195	0.7849358175937928	0.8816677010565065							
(´ｰ`)	NB	0.004023663530177357	0.8648025515086937	0.8647355811653009	0.7109281269222529	0.7575537553098418	0.76309361818658	0.868826215038871							
(ˊᗜˋ)	HP	0.005237242481531124	0.8383310775641347	0.8098626760208986	0.6949152318166765	0.7394355586251925	0.7237511686430279	0.8330938350826036							
(˘³˘)	LP	0.011812620371486893	0.84496453783784	0.865830476296952	0.6828117999384777	0.7384644109033613	0.7585388235587865	0.8540178559254651	0.7078000089438631	0.0	20.0	0.0	1.0	1.0	15.0
(˘▽˘)	NB	0.0422824115681214	0.8373589478047294	0.8774573228171058	0.7350876212452452	0.7953007830302334	0.811308460363346	0.9197397343852272							
(˵・̀‿-˵)	NB	0.0739807814383856	0.7389421007259508	0.7717345313875106	0.7318922803252726	0.7579145223852217	0.7480816586603606	0.8457153128258962							
(˶˃‿˂˶)	NB	0.03748095763880144	0.796282486076499	0.8172473440747642	0.7654042560961202	0.8298291096445988	0.8106453217861049	0.8673100672834002							
(̄▽̄)	NB	0.04153522057931536	0.804452815255012	0.8287528966951991	0.7334557571506626	0.7589395024952933	0.7638838652851131	0.8702881172745145							
(ಠ‿ಠ)	NB	0.000359456167026706	0.8433256357912456	0.812514593733374	0.7541069420142005	0.7758632212542096	0.759929660291141	0.8436850919582723							
(ಠ益ಠ)	NB	0.04059028628658479	0.7699131988451792	0.8241339902240618	0.7945365537739455	0.8330763750638278	0.8441995409812835	0.8847898272678683							
(งツ)	HP	0.003686778556792003	0.7554570405291108	0.7232781208712945	0.6870576490878155	0.6986390180658797	0.6695886227117768	0.7517702619723188							
(ง・_・)	NB	0.03419273777998466	0.7265816107508256	0.7468879981131418	0.7536865183335149	0.7613363810428105	0.7435802538302801	0.7955291188227952							
(ᗒᗨᗕ)	HP	0.004262138953357364	0.8709088912842956	0.8604113214912265	0.6999943189335683	0.7473218293148873	0.7567169227998418	0.8666467523309382							
(„・֊・„)	NB	0.0521670163529413	0.8000157174209412	0.8511577260627048	0.7778393532407404	0.7972643722329914	0.8071429714161713	0.9033247424156461							
(≧‿≦)	LP	0.022291182280667177	0.8601591350635763	0.8824503173442435	0.6914155168258975	0.740910203961959	0.765458632365807	0.8431777230827163	0.8073936188336447	29.0	20.0	0.0	0.0	0.0	6.0
(⊙‿⊙)	HP	0.004143223587032785	0.8756549490337041	0.8509166472222534	0.7243228340183285	0.7675761613241713	0.7610882599343439	0.8715117254466713							
(⊙ヮ⊙)	NB	0.058571861127285296	0.8166384077601115	0.8317537429634436	0.7582527650008657	0.7948603429008259	0.7927769360805739	0.8903256040907289							
(⌐■_ω■)	NB	0.016652186812873615	0.783702853251386	0.852525354515652	0.7128134882805641	0.7497507228509543	0.7718638059497758	0.8691775413285256							
(⌐■‿■)	HP	0.002223389732428749	0.8617411866718646	0.8595177969394359	0.7423128792434548	0.7684300635231446	0.7703028430292682	0.8588096289323692							
(⌒▽⌒)	HP	0.030354945152020862	0.8974017921899238	0.8611598640496952	0.71299729676963	0.7647726724863108	0.7568349172161839	0.8670468470379029							
(─‿‿─)	NB	0.03355115973097145	0.8124506246672168	0.8818641735009972	0.7703515099375564	0.8094434299750622	0.8366964240474459	0.9154153332319687							
(╥﹏╥)	NB	0.017381255749290836	0.829510706981671	0.9047272744273436	0.8076271384188972	0.837655608118659	0.876267055184659	0.9221085301766344	-0.747666585498461	1.0	0.0	16.0	7.0	0.0	0.0
(╭☞・́⍛・̀)	LP	0.009978505284840788	0.8021897105219358	0.8650692174160288	0.7397883384978104	0.7713589975100957	0.7944170999803084	0.855090712131188							
(╹ヮ╹)	NB	0.016700780370016433	0.8406867900435511	0.8378762781843786	0.6867901983454522	0.7282603654854799	0.7362405262205756	0.8573875704135675							
(○´∀`○)	LN	0.0010058128791509136	0.7522859599420938	0.7970575870411954	0.7610137187430541	0.8057018804385272	0.8174860305922524	0.8164802177131015							
(◎_◎;)	LP	0.012576957899046226	0.8092444288745438	0.9041877791619612	0.7510832043678466	0.8093328220140537	0.8468122225558328	0.891610821262915							
(◕ヮ◕)	NB	0.025057885814043557	0.7782998360986799	0.814409545942871	0.7177815483284601	0.7648061727945061	0.7798898253421411	0.8394674317569145							
(◞‸◟)	NB	0.0005531028581610142	0.7880216219453853	0.8924850678137488	0.7163287227793589	0.7669282527043171	0.812830204879632	0.8930381706719098							
(☆▽☆)	NB	0.02611394999820449	0.8637676002299514	0.857909194952838	0.7461700389532713	0.7697294882412862	0.7668555408612161	0.8898815502281558							
(♡^▽^♡)	HP	0.022148383260891857	0.8408440863807846	0.7989467549572256	0.7068655775615337	0.744469978570584	0.7179154524493715	0.8186957031198927							
(✦‿✦)	HP	0.04318796647738332	0.8504175850815657	0.7959941577226698	0.6967005785490745	0.7301502557103162	0.7119233725876722	0.8072296186041824							
(✿・̀ㅁ・́)	NB	0.048286648771001195	0.783042704769678	0.811576704886935	0.7305524686731171	0.7557339527497278	0.7600628415468449	0.8598633536579362							
(づ｡◕‿◕｡)	HP	0.004257368259482752	0.8894309659823946	0.8757704998833379	0.7431439089557041	0.7818715683865435	0.7799184616109454	0.8851735977229118							
(・_・ヾ	NB	0.004954350475885438	0.770455593215864	0.8360430900318458	0.7555949975507286	0.815921535331151	0.8521538148509139	0.8571081653267993							
