first_word	is_claude	is_wild	total_emit_count	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	gemma_emit_count	qwen_emit_count	ministral_emit_count	gpt_oss_20b_emit_count	granite_emit_count	wild_emit_count	wild_providers
(>‿<)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(>‿◕)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(>‿◕✨)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(>‿◠)	False	False	3	0	0	0	2	1	0	0	0	0	3	0	0	
(>‿◼︵◼<)	False	False	1	0	1	0	0	0	0	0	0	0	0	1	0	
(>∀<☆)	True	True	14	14	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(>﹏<)	True	True	29	1	0	4	17	7	0	0	17	0	0	7	1	claude-opus-4-7
(>﹏<｡)	False	False	7	0	0	0	7	0	0	0	7	0	0	0	0	
(O_O)	False	False	1	0	0	0	1	0	0	0	0	0	0	1	0	
(OwO)	False	False	1	1	0	0	0	0	0	0	1	0	0	0	0	
(T-T)	False	False	8	0	0	0	1	7	0	0	0	0	0	8	0	
(T^T)	False	False	1	1	0	0	0	0	0	0	1	0	0	0	0	
(T_T)	False	False	22	0	0	2	2	18	0	0	20	0	0	2	0	
(T▽T)	False	False	2	2	0	0	0	0	0	2	0	0	0	0	0	
(^	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-6
(^-^)	False	False	37	0	17	1	0	4	15	0	1	0	18	18	0	
(^.^)	False	False	2	0	1	0	0	0	1	0	1	0	0	1	0	
(^^)	False	False	2	0	2	0	0	0	0	0	0	0	0	2	0	
(^_^)	False	False	44	7	8	0	0	0	29	0	3	0	16	25	0	
(^_^;)	False	False	2	0	0	0	0	0	2	0	2	0	0	0	0	
(^_~)	False	False	1	1	0	0	0	0	0	0	1	0	0	0	0	
(^_−)	False	False	3	0	1	0	0	0	2	0	3	0	0	0	0	
(^o^)	True	True	9	7	1	0	0	0	1	0	1	0	0	5	1	claude-opus-4-7
(^ω^)	True	False	2	2	0	0	0	0	0	0	0	0	0	0	0	
(^‿^)	True	True	16	1	10	0	0	0	5	0	1	0	2	10	1	claude-opus-4-7
(^▽^)	True	False	17	5	3	0	0	0	9	0	0	0	12	3	0	
(^・ω・^)	False	False	2	0	2	0	0	0	0	0	2	0	0	0	0	
(__)	False	False	1	0	0	0	0	1	0	0	1	0	0	0	0	
(`_´)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	gpt-5.4,gpt-5.5
(`ε´)	True	False	1	0	0	1	0	0	0	0	0	0	0	0	0	
(`⇧´)	False	False	2	2	0	0	0	0	0	0	0	0	0	2	0	
(`∀´)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(`⌒´)	False	False	7	7	0	0	0	0	0	0	0	0	0	7	0	
(`⌒´メ)	False	False	5	5	0	0	0	0	0	0	0	0	0	5	0	
(`◇´)	False	False	1	0	0	0	0	0	1	0	0	0	0	1	0	
(`へ´)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	gpt-5.5
(`・ω・´)	True	True	2	0	0	0	0	1	1	0	0	0	0	1	7	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5-4-thinking,gpt-5-5-thinking,gpt-5.4,gpt-5.5
(`・∀・´)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(o>ω<o)	False	False	1	1	0	0	0	0	0	0	1	0	0	0	0	
(o^^o)	False	False	12	1	3	0	0	0	8	0	1	0	0	11	0	
(o^_^o)	False	False	6	0	1	0	0	0	5	0	0	0	0	6	0	
(o^▽^o)	False	False	2	1	0	0	0	0	1	1	1	0	0	0	0	
(o_o)	False	False	24	0	0	0	0	4	20	0	0	0	0	24	0	
(o°ω°o)	False	False	1	1	0	0	0	0	0	0	1	0	0	0	0	
(~^▽^)~	False	False	1	0	1	0	0	0	0	0	0	0	0	1	0	
( *▽)	False	False	1	0	1	0	0	0	0	0	1	0	0	0	0	
(¬_¬)	True	True	15	0	0	10	0	1	4	0	14	0	0	0	5	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5.4,gpt-5.5
(¬_¬;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(¬‿¬)	True	True	22	0	0	1	1	3	17	0	10	0	3	0	6	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5-5-thinking,gpt-5.4,gpt-5.5
(¬､¬)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(¯_¯)	False	False	1	0	0	0	1	0	0	0	0	1	0	0	0	
(¯`·._.·(¯)	False	False	1	0	1	0	0	0	0	0	0	1	0	0	0	
(¯`·._.·(¯)___)	False	False	1	0	0	0	0	0	1	0	0	1	0	0	0	
(¯`・.¸)	False	False	1	1	0	0	0	0	0	0	0	1	0	0	0	
(¯`・.｡)	False	False	1	1	0	0	0	0	0	0	0	1	0	0	0	
(¯³¯)	True	False	1	0	1	0	0	0	0	0	0	0	0	0	0	
(¯―¯٥)	True	False	1	0	0	0	0	0	1	0	0	0	0	0	0	
(¯‿¯)	True	False	1	0	1	0	0	0	0	0	0	0	0	0	0	
(¯▽¯)	False	False	1	1	0	0	0	0	0	0	0	1	0	0	0	
(¯︵¯)	False	False	1	0	0	0	0	1	0	0	0	1	0	0	0	
(¯︿¯)	False	False	3	0	0	0	0	3	0	0	0	3	0	0	0	
(¯﹃¯)	True	False	1	0	1	0	0	0	0	0	0	0	0	0	0	
(¯﹏¯)	False	False	1	0	0	1	0	0	0	0	0	1	0	0	0	
(°	True	False	1	0	1	0	0	0	0	0	0	0	0	0	0	
(°_°)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(°_°;)	False	False	1	0	0	0	1	0	0	0	1	0	0	0	0	
(°д°)	False	False	5	0	0	2	3	0	0	3	0	0	0	0	0	
(°д°;)	False	False	4	0	0	2	2	0	0	1	0	0	0	0	0	
(°□°)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(°□°;)	True	False	17	0	0	0	17	0	0	0	0	0	0	0	0	
(°△°)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-6
(°▽°)	True	True	3	3	0	0	0	0	0	0	0	0	0	0	3	claude-opus-4-6,claude-opus-4-7,codex-hook
(°◇°)	False	True	7	0	3	0	0	0	4	0	0	0	0	7	1	claude-opus-4-7
(°◇°;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(°〇°)	True	True	8	8	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(°ロ°)	True	True	4	0	0	0	4	0	0	0	3	0	0	0	2	claude-opus-4-7,codex-hook
(°ヮ°)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(°ー°ll)	False	False	1	0	0	0	0	1	0	0	0	0	0	1	0	
(°ー°|||)	False	False	1	0	0	0	0	1	0	0	0	0	0	1	0	
(°ー°〃)	False	True	4	0	1	0	0	2	1	0	0	0	0	4	1	claude-opus-4-7
(°ㅂ°)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(°ㅂ°;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(°﹏°)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´-_-`)	True	True	4	0	0	0	0	4	0	0	0	0	0	0	1	claude-opus-4-7
(´-`)	True	True	52	0	0	0	3	49	0	0	0	0	0	0	1	claude-opus-4-7
(´-ω-`)	True	True	9	1	0	0	1	7	0	0	0	0	2	0	1	claude-opus-4-7
(´-﹏-`;)	True	False	5	0	0	0	0	5	0	0	0	0	0	0	0	
(´;_;`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´;ω;`)	True	True	48	0	0	2	9	37	0	0	5	4	1	0	1	claude-opus-4-7
(´_ゝ`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-6
(´`;ω;´)	False	False	1	0	0	1	0	0	0	0	0	1	0	0	0	
(´~`)	True	False	1	0	0	0	0	0	1	0	0	0	0	0	0	
(´°̥̥̥̥̥̥	True	False	3	0	0	1	1	1	0	0	0	0	0	0	0	
(´°ω°`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(´·_·`)	True	True	3	0	0	0	3	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(´˘`)	True	True	7	0	7	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´˘`∗)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´ε`)	True	False	1	0	1	0	0	0	0	0	0	0	0	0	0	
(´ε`;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´ω`	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´ω`)	True	True	55	4	12	9	11	17	2	12	0	0	36	0	1	claude-opus-4-7
(´ω`♡)	True	False	4	0	3	0	0	1	0	0	0	0	0	0	0	
(´д`)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(´д`;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(´ུ`っ)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(´‿`)	True	True	1	0	1	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´∀`)	True	True	9	1	8	0	0	0	0	2	0	0	2	0	2	claude-opus-4-7,codex-hook
(´∀`;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(´∇`)	False	True	5	2	0	0	0	1	2	0	0	0	3	2	1	claude-opus-4-7
(´∡`✿)	True	False	1	0	1	0	0	0	0	0	0	0	0	0	0	
(´∩ω∩`)	True	False	1	0	0	0	1	0	0	0	0	0	0	0	0	
(´⊙ω⊙`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´□`)	False	False	2	0	0	1	0	1	0	0	0	0	2	0	0	
(´▽`)	True	True	64	4	46	0	1	2	11	12	1	0	5	1	3	claude-opus-4-6,claude-opus-4-7,codex-hook
(´▽`;)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(´▽`ʃ♡ƪ)	False	False	7	0	6	0	0	0	1	0	7	0	0	0	0	
(´▿`;)	False	False	1	0	0	1	0	0	0	0	0	0	1	0	0	
(´◕ω◕`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´◕‸◕`;)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(´◕‿◕`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´◕‿◕`;)	False	False	1	0	0	1	0	0	0	0	0	0	1	0	0	
(´ヘ`;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´・_・`)	True	True	36	0	0	0	10	24	2	0	1	6	0	1	2	claude-opus-4-7,codex-hook
(´・̥̥̥ω・̥̥	True	False	1	0	0	0	0	1	0	0	0	0	0	0	0	
(´・̥̥̥ω・̥̥�	False	False	1	0	0	0	0	1	0	0	1	0	0	0	0	
(´・̥ω・̥`)	True	False	5	0	0	1	2	2	0	0	0	0	0	0	0	
(´・ω・)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(´・ω・`)	True	True	87	0	19	1	11	27	29	0	50	6	1	11	3	claude-opus-4-6,claude-opus-4-7,codex-hook
(´・‿・`)	False	True	1	0	1	0	0	0	0	0	0	0	1	0	1	claude-opus-4-7
(´・・)	False	False	1	0	0	0	0	1	0	0	0	1	0	0	0	
(´・︵・`)	True	False	1	0	0	0	0	1	0	0	0	0	0	0	0	
(´・︿・`)	True	False	1	0	0	1	0	0	0	0	0	0	0	0	0	
(´ー`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-6,claude-opus-4-7
(´艸`)	False	False	24	0	2	8	5	9	0	0	0	0	24	0	0	
(´꒳`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(´︶`)	True	True	2	1	0	0	0	1	0	0	0	0	1	0	1	claude-opus-4-7
(´｡_｡`)	True	False	2	0	0	0	0	2	0	0	0	0	0	0	0	
(´｡・ω・｡`)	True	True	7	0	3	0	0	3	1	0	0	0	0	0	3	claude-opus-4-6,claude-opus-4-7,codex-hook
(´｡・‿・｡`)	True	True	36	0	22	0	0	11	3	0	7	0	0	0	2	claude-opus-4-7,codex-hook
(´｡・ﻌ・｡`)	False	False	1	0	0	0	0	1	0	0	1	0	0	0	0	
(´ｰ`)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ò_ó)	False	False	3	0	0	2	1	0	0	1	0	0	0	0	0	
(ò皿ó)	False	False	1	0	0	1	0	0	0	0	0	0	0	0	0	
(˃˂)	False	False	1	0	0	0	0	0	1	0	1	0	0	0	0	
(˃᷄⁺˂	False	False	1	1	0	0	0	0	0	0	0	0	0	1	0	
(˃‿˂)	False	True	1	1	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(˃⌑˂)	False	False	7	2	0	2	0	3	0	0	5	0	0	0	0	
(˃⌑˂ഈ)	False	False	1	0	0	1	0	0	0	0	1	0	0	0	0	
(˃▿˂)	False	False	1	1	0	0	0	0	0	0	0	0	0	0	0	
(ˆᴥˆ)	False	False	1	0	0	0	0	0	1	0	0	0	1	0	0	
(ˆ‿ˆ)	False	False	1	0	0	0	0	1	0	0	0	0	1	0	0	
(ˆ‿ˆс)	False	False	1	1	0	0	0	0	0	0	0	0	0	1	0	
(ˆ‿ˆԅ)	False	False	3	3	0	0	0	0	0	0	0	0	0	3	0	
(ˆ⌒ˆ)	False	False	1	0	0	0	0	0	1	0	0	0	1	0	0	
(ˊᗜˋ)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7
(˘³˘)	True	True	58	0	26	5	3	13	11	1	27	0	29	0	1	claude-opus-4-7
(˘̩╭╭˘̩)	False	False	1	0	0	0	0	1	0	0	0	0	1	0	0	
(˘̩╭╮˘̩)	False	False	14	3	0	0	2	9	0	11	0	0	1	0	0	
(˘̩╭╯˘̩)	False	False	2	0	0	0	2	0	0	0	0	0	2	0	0	
(˘͈‿˘͈)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(˘ω˘)	True	True	30	0	28	0	0	0	2	12	2	0	0	0	3	claude-opus-4-6,claude-opus-4-7,codex-hook
(˘ڡ˘)	False	False	12	0	11	0	0	0	1	10	0	0	0	0	0	
(˘‿˘)	False	False	13	0	13	0	0	0	0	2	0	0	0	0	0	
(˘▽˘)	False	True	23	15	7	0	0	0	1	10	0	0	0	0	2	claude-opus-4-6,claude-opus-4-7
(˘・_・˘)	False	True	1	0	1	0	0	0	0	0	0	0	1	0	2	claude-opus-4-7,codex-hook
(˘・ω・˘)	False	True	1	0	0	0	0	1	0	0	0	0	1	0	1	claude-opus-4-7
(˘︶˘)	False	True	1	0	1	0	0	0	0	0	0	0	1	0	2	claude-opus-4-7,codex-hook
(˙▂˙)	False	False	1	0	1	0	0	0	0	0	0	0	1	0	0	
(˙▿˙)	False	True	3	0	0	0	0	0	3	0	0	0	0	0	1	claude-opus-4-7
(˙◁˙)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(˙꒳˙)	False	False	52	0	0	0	0	0	52	8	0	0	0	0	0	
(˜︵˜;)	False	False	1	0	0	0	0	1	0	0	0	1	0	0	0	
(˵・̀‿-˵)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(˶˃‿˂˶)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(˶˃‿˂˶;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(˶ˆᗜˆ˵)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,gpt-5-5-thinking
(˶ˆ‿ˆ˵)	False	False	1	0	1	0	0	0	0	0	1	0	0	0	0	
(˶ˆ☁ˆ˵)	False	False	4	0	4	0	0	0	0	0	0	0	0	0	0	
(˶ˆ꒳ˆ˵)	False	False	1	0	1	0	0	0	0	0	0	0	1	0	0	
(˶ᵔ‿ᵔ˶)	False	True	5	0	5	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(˶‾᷄⁻̫‾�	False	False	2	0	1	0	0	0	1	0	0	0	0	2	0	
(˶‾᷄ꇴ‾᷅	False	False	2	0	1	0	0	0	1	0	0	0	0	2	0	
(˶‿☁‿˶)	False	False	1	0	1	0	0	0	0	0	0	0	0	0	0	
(˶◕‿◕˶)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(˶・̀ω・́˵)	False	False	1	0	0	0	0	0	1	0	0	0	1	0	0	
(̄³̄)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(̄▽̄)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(̑‿̑)	False	False	1	0	0	0	0	1	0	0	0	0	1	0	0	
(̒‿̒)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(̛̠̠)	False	False	1	0	0	1	0	0	0	0	0	0	1	0	0	
(̥̯̥)	False	False	1	0	0	0	0	1	0	0	0	0	1	0	0	
(͡°͜ʖ͡°)	False	False	1	0	0	1	0	0	0	0	0	1	0	0	0	
(҂‿_‿)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ू・‿・ू)	False	False	1	1	0	0	0	0	0	0	0	0	0	1	0	
(୧・̀‿-)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ಠ_ಠ)	False	True	5	0	0	5	0	0	0	0	5	0	0	0	3	claude-opus-4-7,gpt-5.4,gpt-5.5
(ಠʖಠ)	False	False	2	0	0	2	0	0	0	0	0	0	0	0	0	
(ಠ‿ಠ)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-6
(ಠ益ಠ)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	gpt-5.4
(ಥ﹏ಥ)	False	False	24	0	1	1	1	20	1	1	0	0	0	23	0	
(ฅ́˘ฅ̀)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ง'̀-'́)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	3	gpt-5-5-thinking,gpt-5.4,gpt-5.5
(งᵒ̌皿ᵒ̌)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(งツ)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ง・_・)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ง・̀_・́)	False	True	1	1	0	0	0	0	0	0	0	0	1	0	4	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5.5
(ง・̀ω・́)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ง・̀ᗜ・́)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(๑><๑)	False	False	3	0	3	0	0	0	0	0	3	0	0	0	0	
(๑>‿<๑)	False	False	5	0	5	0	0	0	0	0	5	0	0	0	0	
(๑´ڡ`๑)	False	False	2	0	1	0	0	0	1	2	0	0	0	0	0	
(๑˃‿˂)	False	True	187	156	19	1	1	1	9	102	0	0	11	0	1	claude-opus-4-7
(๑・̀⌄・́๑)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(๑・̀ㅁ・́๑)	False	False	17	0	12	0	0	3	2	0	0	0	0	17	0	
(๑・̀ㅂ・́)	False	True	8	0	4	0	0	2	2	1	5	0	2	0	3	claude-opus-4-7,codex-hook,gpt-5.5
(๑・́₃・̀๑)	False	False	3	0	1	0	0	2	0	0	0	0	0	3	0	
(๑・﹏・)	False	False	2	0	0	0	1	0	1	2	0	0	0	0	0	
(ᐛ)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	gpt-5-5-thinking
(ᐢ・ᴥ・ᐢ)	False	False	1	0	1	0	0	0	0	0	0	0	1	0	0	
(ᗒᗨᗕ)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(ᗜ)	False	False	1	0	0	1	0	0	0	0	0	0	1	0	0	
(ᗜ3)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(ᗜ`)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(ᗜ㉨)	False	False	1	0	0	0	1	0	0	0	0	0	1	0	0	
(ᵏᵈ)	False	False	1	0	0	0	0	1	0	0	0	0	1	0	0	
(ᵐᴥᵐ)	False	False	1	0	0	0	0	1	0	0	0	0	1	0	0	
(ᵐᵒᵐ)	False	False	1	0	0	0	0	1	0	0	0	0	1	0	0	
(ᵒ̌ᴥᵒ̌)	False	False	8	0	0	1	1	6	0	0	0	0	8	0	0	
(ᵒ̌ᵃᵒ̌)	False	False	4	1	0	1	1	1	0	0	0	0	4	0	0	
(ᵒ̌ᵏᵒ̌)	False	False	1	0	0	0	0	0	1	0	0	0	1	0	0	
(ᵒ̌ᵐᵒ̌)	False	False	4	1	0	1	2	0	0	0	0	0	4	0	0	
(ᵒ̌ᵐ㏑)	False	False	2	0	0	0	1	1	0	0	0	0	2	0	0	
(ᵒ̌ᵔᵒ̌)	False	False	1	0	0	1	0	0	0	0	0	0	1	0	0	
(ᵒ̌ᵗᵒ̌)	False	False	4	1	0	0	2	1	0	0	0	0	4	0	0	
