first_word	gemma_pred	gemma_softmax	qwen_pred	qwen_softmax	empirical	total_emit_count	is_claude	has_ground_truth	agree	gemma_matches_empirical	qwen_matches_empirical
(O_O)	HN-S	0.8426856109918086	HP	0.4320871967898692	HN-S	1	False	False	False	False	False
(OwO)	NB	0.8073617479632974	HP	0.5011919783100095	HP	1	False	False	False	False	False
(T-T)	HP	0.6957226964421704	LN	0.5926768061041675	LN	8	False	True	False	False	True
(T^T)	NB	0.50781620033151	LN	0.5657890190102814	HP	1	False	False	False	False	False
(T_T)	HN-S	0.8436364112693927	LN	0.6279747355394224	LN	22	False	True	False	False	True
(T▽T)	HP	0.99735908679859	LN	0.6484353461301455	HP	2	False	False	False	False	False
(^	NB	0.6976301883288767	NB	0.5680387552304667	nan	0	False	False	True	False	False
(^-^)	NB	0.9782748110464252	NB	0.6381044821849817	LP	37	False	True	True	False	False
(^.^)	NB	0.860325830715441	NB	0.5861026029056831	LP	2	False	False	True	False	False
(^^)	NB	0.9524937093776076	NB	0.4159392658372561	LP	2	False	False	True	False	False
(^_^)	NB	0.8523343400734438	NB	0.4766070760398991	NB	44	False	True	True	True	True
(^_^;)	HN-S	0.8132563805114382	NB	0.4680217551203877	NB	2	False	False	False	False	False
(^_~)	NB	0.931331880407806	NB	0.4722662632899757	HP	1	False	False	True	False	False
(^_−)	NB	0.5370472961042567	NB	0.462007113416902	NB	3	False	True	True	True	True
(^o^)	HP	0.6627025520578473	NB	0.5545144283897055	HP	6	False	True	False	True	False
(^‿^)	NB	0.5449070184926109	NB	0.5297178384097092	LP	13	False	True	True	False	False
(^▽^)	NB	0.6996375939727338	NB	0.4369102753850166	NB	15	False	True	True	True	True
(^・ω・^)	NB	0.8027167176463356	LP	0.4594937237335956	LP	2	False	False	False	False	False
(__)	NB	0.4150384284670807	LN	0.4515986816100494	LN	1	False	False	False	False	False
(`_´)	LN	0.963766535104796	LN	0.3432860287393753	nan	0	False	False	True	False	False
(`⇧´)	HP	0.9097894016943692	LN	0.3003179971940187	HP	2	False	False	False	False	False
(`⌒´)	LN	0.980050890938375	LN	0.324152478921926	HP	7	False	True	True	False	False
(`⌒´メ)	LN	0.9664926471817018	LN	0.3625402592926411	HP	5	False	True	True	False	False
(`◇´)	HN-D	0.5915801875256712	LN	0.2924871595146626	NB	1	False	False	False	False	False
(`へ´)	LN	0.4388327836628594	LN	0.4089977729484747	nan	0	False	False	True	False	False
(`・ω・´)	HN-D	0.5476494936601085	LN	0.3297362443667054	LN	1	False	False	False	False	False
(o>ω<o)	HP	0.9935753767192936	HP	0.4159511473970145	HP	1	False	False	True	False	False
(o^^o)	NB	0.9778704386270654	HP	0.416667317959719	NB	12	False	True	False	True	False
(o^_^o)	NB	0.9715133383667592	HP	0.4073921387373853	NB	6	False	True	False	True	False
(o^▽^o)	HP	0.5338001856937182	HP	0.4247874162886451	HP	2	False	False	True	False	False
(o_o)	HN-S	0.9925413423873676	HP	0.3614331517074381	NB	24	False	True	False	False	False
(o°ω°o)	HN-S	0.942347338846082	NB	0.3215192101355375	HP	1	False	False	False	False	False
(~^▽^)~	HP	0.7178764366444315	HN-S	0.2564587750170814	LP	1	False	False	False	False	False
( *▽)	HP	0.9939759179580234	NB	0.1908166903663969	LP	1	False	False	False	False	False
(¬_¬)	HN-D	0.9417255779725164	HN-D	0.190381437578515	HN-D	14	False	True	True	True	True
(¬‿¬)	NB	0.9913721563354144	HN-D	0.1967445525243429	NB	15	True	True	False	True	False
(¬､¬)	NB	0.6147310263956768	HN-S	0.2142968678740727	nan	0	False	False	False	False	False
(¯`·._.·(¯)	NB	0.9984806483683188	LP	0.2240659270769021	LP	1	False	False	False	False	False
(¯`·._.·(¯)___)	NB	0.9937353491795498	NB	0.2237287359967179	NB	1	False	False	True	False	False
(¯`・.¸)	NB	0.985837009290406	HP	0.2264079607203092	HP	1	False	False	False	False	False
(¯`・.｡)	NB	0.9887319704152956	HP	0.2100440020948288	HP	1	False	False	False	False	False
(¯▽¯)	NB	0.9856735332157684	LP	0.1993983527686969	HP	1	False	False	False	False	False
(¯︎_¯︎)	NB	0.9993267153421532	HN-D	0.2330039831009329	HN-S	1	False	False	False	False	False
(¯︵¯)	NB	0.5859034134532679	HN-D	0.2004073376010714	LN	1	False	False	False	False	False
(¯︿¯)	NB	0.4679576416021496	HN-D	0.2509332938809149	LN	3	False	True	False	False	False
(¯﹏¯)	HN-S	0.6007955783964174	HN-D	0.2477175505056915	HN-D	1	False	False	False	False	False
(°_°;)	HN-S	0.9989622511835068	HP	0.1884162026078107	HN-S	1	False	False	False	False	False
(°д°)	HN-S	0.5378002096384862	HP	0.2067096665050251	HN-S	3	False	True	False	True	False
(°д°;)	HN-D	0.6516405254535984	HP	0.1972145969811219	HN-S	1	False	False	False	False	False
(°□°)	HN-S	0.7515982995388749	HP	0.2346245577861113	nan	0	False	False	False	False	False
(°□°;)	HN-S	0.9380077663900525	HP	0.2108665021225193	HN-S	2	True	False	False	False	False
(°△°)	HN-D	0.6577492041750018	NB	0.1859578355714272	nan	0	False	False	False	False	False
(°▽°)	HP	0.7932792393332231	HP	0.2498932084200393	nan	0	False	False	True	False	False
(°◇°)	HN-S	0.9191185108045804	HP	0.2184162228830373	NB	7	False	True	False	False	False
(°〇°)	HN-S	0.7542721321869644	HP	0.2017482197899094	HP	4	True	True	False	False	True
(°ロ°)	HN-S	0.9339101235330494	HP	0.2431500250730888	HN-S	3	False	True	False	True	False
(°ヮ°)	NB	0.8600416827358136	HP	0.2266888221146656	nan	0	False	False	False	False	False
(°ー°ll)	HN-D	0.556857589601847	HP	0.260458772963576	LN	1	False	False	False	False	False
(°ー°|||)	HN-S	0.8940566117544395	HP	0.2203129182957768	LN	1	False	False	False	False	False
(°ー°〃)	NB	0.4424235741606154	HP	0.2153710847240373	LN	4	False	True	False	False	False
(´	LN	0.6800799266296056	LP	0.1875135426656723	nan	0	False	False	False	False	False
(´-`)	LN	0.98197008050676	HN-D	0.1915853097342206	LN	6	True	True	False	True	False
(´-ω-`)	LN	0.9956171696010884	LP	0.2051537411278188	LN	3	True	True	False	True	False
(´-﹏-`;)	LN	0.9837629363670872	HN-D	0.2288993811645094	LN	1	True	False	False	False	False
(´;ω;`)	LN	0.9993462181622824	HN-D	0.2113183483380011	LN	13	True	True	False	True	False
(´_ゝ`)	LN	0.9055241992386108	LN	0.1854606629542198	nan	0	False	False	True	False	False
(´`;ω;´)	LN	0.9959941466377166	LN	0.2081854519017587	HN-D	1	False	False	True	False	False
(´°̥̥̥̥̥̥	LN	0.9361866622494984	HN-D	0.1903413800003827	HN-D	1	True	False	False	False	False
(´°ω°`)	HN-D	0.9233852765710694	HP	0.2182433729365782	nan	0	False	False	False	False	False
(´·_·`)	LN	0.8502677801188675	HN-D	0.1851737106052889	nan	0	False	False	False	False	False
(´˘`)	LP	0.8298211279494511	HP	0.1877252695763272	LP	1	True	False	False	False	False
(´ω`	LP	0.5176943051526703	LP	0.2275983159963981	nan	0	False	False	True	False	False
(´ω`)	LN	0.5968756010785985	LP	0.2258084691231903	LN	48	False	True	False	True	False
(´д`)	HN-D	0.566742987568383	HN-D	0.1993841569189338	HN-S	1	False	False	True	False	False
(´д`;)	LN	0.6283168260421974	HN-D	0.2170984728390696	nan	0	False	False	False	False	False
(´ུ`っ)	LN	0.6869976968195961	HN-D	0.2126298361748674	HN-S	1	False	False	False	False	False
(´∀`)	LN	0.9134799571573122	HP	0.2567873687927234	LP	5	True	True	False	False	False
(´∀`;)	LN	0.995908169791854	HP	0.2340497340236076	nan	0	False	False	False	False	False
(´∇`)	LP	0.8630047143854177	HP	0.2780880647849924	HP	5	False	True	False	False	True
(´□`)	HN-D	0.9320965255254337	LN	0.1763620066511676	HN-D	2	False	False	False	False	False
(´▽`)	LP	0.7712816935419615	HP	0.2854054220751587	LP	20	True	True	False	True	False
(´▽`;)	LN	0.9512636862652032	HP	0.2594307689170629	HN-S	1	False	False	False	False	False
(´▽`ʃ♡ƪ)	LP	0.9918078305500933	HP	0.2908262062373494	LP	7	False	True	False	True	False
(´▿`;)	LN	0.7269311405973787	HP	0.1991829166751327	HN-D	1	False	False	False	False	False
(´◕ω◕`)	LN	0.7027961593059903	HP	0.2411730590738739	nan	0	False	False	False	False	False
(´◕‸◕`;)	LN	0.7084160509451926	HP	0.2080791290735872	HN-S	1	False	False	False	False	False
(´◕‿◕`;)	LN	0.8021803151543778	HP	0.268418936817952	HN-D	1	False	False	False	False	False
(´ヘ`;)	LN	0.9727529716952577	LN	0.212267539478907	nan	0	False	False	True	False	False
(´・_・`)	HN-D	0.8120302584732847	NB	0.1903726103439978	LN	13	True	True	False	False	False
(´・̥̥̥ω・̥̥�	HN-D	0.6226912605254076	HN-D	0.2331458060165923	LN	1	False	False	True	False	False
(´・̥ω・̥`)	LN	0.9219673666519038	NB	0.191997132297306	LN	1	True	False	False	False	False
(´・ω・)	NB	0.9662729102097052	LP	0.2007829169736741	nan	0	False	False	False	False	False
(´・ω・`)	LN	0.8431825948549139	LP	0.198355845630356	NB	68	False	True	False	False	False
(´・‿・`)	NB	0.95657700105798	HP	0.2037765806636959	LP	1	False	False	False	False	False
(´・・)	LN	0.9926187768767688	HP	0.1943045747665472	LN	1	False	False	False	False	False
(´ー`)	LN	0.9885172016797992	LP	0.190385688652217	nan	0	False	False	False	False	False
(´艸`)	LP	0.4943163511923449	HP	0.2400507286330876	LN	24	False	True	False	False	False
(´꒳`)	LN	0.5020310286174839	LP	0.1978324755530585	nan	0	False	False	False	False	False
(´︶`)	LN	0.6344528739603209	LP	0.2025302403892602	LN	1	False	False	False	False	False
(´｡・ω・｡`)	LP	0.9179211549155476	LP	0.2605409226014451	LN	1	True	False	True	False	False
(´｡・‿・｡`)	LP	0.5298608864481255	LP	0.2365787882671531	LP	12	True	True	True	True	True
(´｡・ﻌ・｡`)	HP	0.6790757970893193	LP	0.2510902802500454	LN	1	False	False	False	False	False
(´ｰ`)	HN-D	0.7818248375241538	NB	0.1889236167333871	nan	0	False	False	False	False	False
(ò_ó)	HN-D	0.9280914552188964	HN-S	0.2030772324048491	HN-S	1	False	False	False	False	False
(˃˂)	LN	0.7144357405661478	HN-D	0.2275040733888496	NB	1	False	False	False	False	False
(˃᷄⁺˂	HN-D	0.6520013666085506	LP	0.2690864609356599	HP	1	False	False	False	False	False
(˃‿˂)	HP	0.999589730605298	LP	0.2315066584706364	nan	0	False	False	False	False	False
(˃⌑˂)	HP	0.8711682896297046	HN-S	0.1909233429064952	LN	5	False	True	False	False	False
(˃⌑˂ഈ)	HP	0.9961273114390544	HN-D	0.1809788189710285	HN-D	1	False	False	False	False	False
(ˆᴥˆ)	NB	0.9701953540774488	LP	0.2604963733062733	NB	1	False	False	False	False	False
(ˆ‿ˆ)	NB	0.8927591000206218	LP	0.2378226607977635	LN	1	False	False	False	False	False
(ˆ‿ˆс)	NB	0.7172489459730085	LP	0.2605818535494663	HP	1	False	False	False	False	False
(ˆ‿ˆԅ)	LP	0.946563660113148	LP	0.2140259038732918	HP	3	False	True	True	False	False
(ˆ⌒ˆ)	NB	0.7652814866991956	LP	0.2463436271437952	NB	1	False	False	False	False	False
(ˊᗜˋ)	NB	0.9093978745609884	NB	0.1986611830934112	nan	0	False	False	True	False	False
(ˊᗜˋ*)و	HP	0.9927615897858526	LP	0.2054464029137929	nan	0	False	False	False	False	False
(˘³˘)	LP	0.9941503533485928	LP	0.2335300089442009	LP	57	False	True	True	True	True
(˘̩╭╭˘̩)	LN	0.996975529447952	HN-S	0.192140335980481	LN	1	False	False	False	False	False
(˘̩╭╮˘̩)	LN	0.9699324015547942	HN-S	0.1910809233675419	LN	12	False	True	False	True	False
(˘̩╭╯˘̩)	LN	0.9482357154180412	HN-S	0.1951734482071895	HN-S	2	False	False	False	False	False
(˘ω˘)	LP	0.983355073250032	LP	0.2529665566211214	LP	14	False	True	True	True	True
(˘ڡ˘)	LP	0.9875047487957742	LP	0.2360275841998842	LP	10	False	True	True	True	True
(˘‿˘)	LP	0.9525905321441074	LP	0.2227130341201235	LP	2	False	False	True	False	False
(˘▽˘)	LP	0.9267908102975368	LP	0.243177551704775	HP	10	False	True	True	False	False
(˘・_・˘)	LP	0.7252558358135575	LP	0.1940628376009519	LP	1	False	False	True	False	False
(˘・ω・˘)	LP	0.9072103689230956	LP	0.2312635251081129	LN	1	False	False	True	False	False
(˘︶˘)	LP	0.9998284289357252	LP	0.1972578564474345	LP	1	False	False	True	False	False
(˙▂˙)	HN-S	0.6947778731907334	LP	0.1972840787464901	LP	1	False	False	False	False	False
(˙꒳˙)	NB	0.9978476751146346	LP	0.263135506867566	NB	8	False	True	False	True	False
(˜︵˜;)	HN-D	0.6690717822446728	LP	0.1954217295457911	LN	1	False	False	False	False	False
(˵・̀‿-˵)	HP	0.7055663574696964	LP	0.2555504543918793	nan	0	False	False	False	False	False
(˶˃‿˂˶)	LP	0.7285379430291469	LP	0.2814115965346984	nan	0	False	False	True	False	False
(˶ˆᗜˆ˵)	NB	0.4312147567320272	LP	0.222810536459751	nan	0	False	False	False	False	False
(˶ˆ‿ˆ˵)	LP	0.5894707763942215	LP	0.2759373422467918	LP	1	False	False	True	False	False
(˶ˆ꒳ˆ˵)	LP	0.9195889260927348	LP	0.2510853631691671	LP	1	False	False	True	False	False
(˶ᵔ‿ᵔ˶)	LP	0.9966620605708828	LP	0.2157945036949533	nan	0	False	False	True	False	False
(˶‾᷄⁻̫‾�	LP	0.9950484386864934	LP	0.2160574029041868	LP	2	False	False	True	False	False
(˶‾᷄ꇴ‾᷅	LP	0.9323004447531448	LP	0.2276473255271321	LP	2	False	False	True	False	False
(˶・̀ω・́˵)	HN-S	0.687178011246322	LP	0.2394229418111384	NB	1	False	False	False	False	False
(̄³̄)	HN-D	0.9363000948199336	HN-S	0.2240176611488794	HN-S	1	False	False	False	False	False
(̄▽̄)	NB	0.628999387074741	LP	0.1870032960210517	nan	0	False	False	False	False	False
(̑‿̑)	LP	0.6966232739471231	HN-S	0.206290392682059	LN	1	False	False	False	False	False
(̒‿̒)	NB	0.5772047139817108	HP	0.2069995311987263	HN-S	1	False	False	False	False	False
(̛̠̠)	HN-S	0.8933363958478409	HN-D	0.2074516850972407	HN-D	1	False	False	False	False	False
(̥̯̥)	LN	0.8429881696839269	HN-D	0.2103372620015525	LN	1	False	False	False	False	False
(͡°͜ʖ͡°)	NB	0.5911983617461614	LP	0.1993853649226286	HN-D	1	False	False	False	False	False
(҂‿_‿)	HN-D	0.693281957644604	HN-S	0.1970150408967149	nan	0	False	False	False	False	False
(ू・‿・ू)	LP	0.96792366815942	HN-S	0.1977394452919999	HP	1	False	False	False	False	False
(ಠ_ಠ)	HN-D	0.9964688294790934	HN-D	0.1953660549816646	HN-D	5	False	True	True	True	True
(ಠ‿ಠ)	HN-D	0.7349626059773711	HN-S	0.1956654685499743	nan	0	False	False	False	False	False
(ಠ益ಠ)	HN-D	0.9986780330267786	HN-D	0.19723019491764	nan	0	False	False	True	False	False
(ಥ﹏ಥ)	HN-D	0.4661045758707229	LN	0.2187330976248886	LN	24	False	True	False	False	True
(ฅ́˘ฅ̀)	LP	0.8379293381838152	HN-D	0.1931219116395103	nan	0	False	False	False	False	False
(ง'̀-'́)	HN-D	0.9964346967555284	HN-D	0.2163610599704729	nan	0	False	False	True	False	False
(งᵒ̌皿ᵒ̌)	HN-D	0.9679084356545814	HN-S	0.2135241548851361	nan	0	False	False	False	False	False
(งツ)	HN-D	0.9617323676650876	HN-D	0.2067336694377708	nan	0	False	False	True	False	False
(ง・_・)	HN-S	0.8103838893822941	HN-S	0.1954716084621635	nan	0	False	False	True	False	False
(ง・̀_・́)	HN-S	0.5419734787726131	HN-D	0.1935736241950297	HP	1	False	False	False	False	False
(ง・̀ω・́)	HN-S	0.5616436375972119	LP	0.1976458711841539	nan	0	False	False	False	False	False
(ง・̀ᗜ・́)	HP	0.4009254460755427	LP	0.2130144336525044	nan	0	False	False	False	False	False
(๑><๑)	HN-S	0.9980649036719772	LP	0.1939849565708822	LP	3	False	True	False	False	True
(๑>‿<๑)	LP	0.6535904293319974	LP	0.1984465290439351	LP	5	False	True	True	True	True
(๑´ڡ`๑)	LP	0.9693643396063352	LP	0.1988107757835248	LP	2	False	False	True	False	False
(๑˃‿˂)	HP	0.9608104711615928	LP	0.2002385498528297	HP	113	False	True	False	True	False
(๑・̀ㅁ・́๑)	HN-S	0.959364054689398	HN-S	0.2013152469227271	LP	17	False	True	True	False	False
(๑・̀ㅂ・́)	NB	0.9932502013237744	LP	0.2150732333852932	LP	8	False	True	False	False	True
(๑・́₃・̀๑)	HN-S	0.8337246803271059	HN-D	0.1933490930017836	LN	3	False	True	False	False	False
(๑・﹏・)	NB	0.450516098934784	LP	0.2030146444279257	HN-S	2	False	False	False	False	False
(ᐛ)	HP	0.4529224843326092	HN-D	0.1937267157532344	nan	0	False	False	False	False	False
(ᐢ・ᴥ・ᐢ)	HN-S	0.3225539865613375	HN-D	0.2036410560368296	LP	1	False	False	False	False	False
(ᗒᗨᗕ)	HP	0.8573838944729467	HN-D	0.2010382376117218	nan	0	False	False	False	False	False
(ᗜ)	HP	0.9259998489647984	LN	0.1881330276897608	HN-D	1	False	False	False	False	False
(ᗜ3)	HP	0.8398167375809564	NB	0.2023393027318682	HN-S	1	False	False	False	False	False
(ᗜ`)	HP	0.9461693140157412	HN-D	0.1892885607260737	HN-S	1	False	False	False	False	False
(ᗜ㉨)	HN-S	0.5605733339706206	LN	0.1923595594979734	HN-S	1	False	False	False	False	False
(ᵏᵈ)	NB	0.8132861188822514	HN-D	0.2037676378337752	LN	1	False	False	False	False	False
(ᵐᴥᵐ)	NB	0.4724651646528223	HN-D	0.192527985926814	LN	1	False	False	False	False	False
(ᵐᵒᵐ)	HP	0.4217272165732741	HN-D	0.2190595537072709	LN	1	False	False	False	False	False
(ᵒ̌ᴥᵒ̌)	HN-D	0.3825579284581272	HN-D	0.2074721823970649	LN	8	False	True	True	False	False
(ᵒ̌ᵃᵒ̌)	HP	0.7250606171960176	HN-D	0.2173510926744845	HP	4	False	True	False	True	False
(ᵒ̌ᵏᵒ̌)	HN-S	0.4089185038029266	HN-D	0.2205177351258722	NB	1	False	False	False	False	False
(ᵒ̌ᵐᵒ̌)	HP	0.490865136709212	HN-D	0.2426758045676431	HN-S	4	False	True	False	False	False
(ᵒ̌ᵐ㏑)	HN-S	0.3803267494979321	HN-D	0.2231628624372025	HN-S	2	False	False	False	False	False
(ᵒ̌ᵔᵒ̌)	NB	0.5937481129451867	HN-D	0.2210174229203015	HN-D	1	False	False	False	False	False
(ᵒ̌ᵗᵒ̌)	HN-S	0.772696980162425	HN-D	0.2084451696106961	HN-S	4	False	True	False	True	False
(ᵔ̀-̀ᵔ)	HN-S	0.7426793022695869	HN-D	0.2407690716355643	HN-S	1	False	False	False	False	False
(ᵔᴥᵔ)	NB	0.6371648745254462	HN-D	0.190385287666818	HN-D	55	False	True	False	False	True
(ᵔᵔ)	HP	0.9372914839997064	HN-D	0.2142700041411827	LP	1	False	False	False	False	False
(ᵔ‿ᵔ)	NB	0.4097742445837894	HN-D	0.2114566283215137	HN-D	5	False	True	False	False	True
(ᵔㅂᵔ)	HP	0.908415413965286	LP	0.2084444029372203	HN-S	7	False	True	False	False	False
(ᵔㅅᵔ)	HP	0.842360545247482	HN-D	0.1984989807358705	HN-D	4	False	True	False	False	True
(ᵔㅜᵔ)	HP	0.96302895760882	LN	0.2028393773612999	HN-D	1	False	False	False	False	False
(„‿‿‿„)	LP	0.8700702627403242	HN-S	0.2150509740227731	nan	0	False	False	False	False	False
(„・֊・„)	HN-S	0.8698328387430933	HN-D	0.2217054994982931	nan	0	False	False	False	False	False
(„・‿・„)	NB	0.6622168326252104	HN-D	0.219731676439493	nan	0	False	False	False	False	False
(‿͈ˬ‿͈)	LP	0.9941775101332736	HP	0.2784675098598096	nan	0	False	False	False	False	False
(‿‿)	NB	0.7015824543846916	HP	0.1934441829937166	LP	1	False	False	False	False	False
(‿‿‿)	LP	0.969475183805134	LP	0.2061050459217371	HP	6	False	True	True	False	False
(‿‿‿✿)	LP	0.9912711006897514	HP	0.2166211933906044	LP	1	True	False	False	False	False
(⁀˘ω˘⁀)	LP	0.4974393038417031	HP	0.2113973265698172	HN-S	1	False	False	False	False	False
(⁀ᗜ⁀)	HP	0.4723251743319434	HP	0.2293786772210828	LN	19	False	True	True	False	False
(⁀✰)	NB	0.7082887532895625	HP	0.2116716859392802	HN-S	1	False	False	False	False	False
(⁄	HN-S	0.5451366214316201	HN-D	0.2126833670654013	LP	14	False	True	False	False	False
(⁄⁂⁄)	HN-S	0.8001790626998013	HP	0.196703895119886	NB	1	False	False	False	False	False
(⁄⁄・⁄ω⁄・⁄)	LN	0.9995511014161904	HP	0.2558816535435057	HP	1	False	False	False	False	False
(⁄⁄・⁄ω⁄・⁄⁄)	LN	0.998613292830442	HP	0.2134478228401305	nan	0	False	False	False	False	False
(⁎˃ᆺ˂)	HN-D	0.5225179562323452	HP	0.2331927494244879	LN	2	False	False	False	False	False
(⁎˃‿˂⁎)	HP	0.4905545171700578	HP	0.1924811338942574	LP	3	False	True	True	False	False
(⁎‿‿‿⁎)	LP	0.9592416017621388	HP	0.2187786392249055	LP	1	False	False	False	False	False
(≖‿≖)	NB	0.9170252998292044	HN-D	0.1977263137717199	NB	1	False	False	False	False	False
(≧^O^≦)	HP	0.8222908705877648	HP	0.1984602496432417	HN-S	1	False	False	True	False	False
(≧ω≦)	HP	0.9937033597079732	LP	0.1920783901483887	LP	5	False	True	False	False	True
(≧‿≦)	HP	0.9764182597542084	LN	0.2012305316693627	HP	105	True	True	False	True	False
(≧∇≦)	HP	0.9999959442506192	NB	0.1880479938186402	HP	4	False	True	False	True	False
(≧▽≦)	HP	0.9999957307960068	NB	0.1975244207159789	HP	58	True	True	False	True	False
(≧▽≦*)o	HP	0.99541483154439	LN	0.2021797730047916	HP	1	False	False	False	False	False
(≧︿≦)	HN-D	0.998766100557916	HN-D	0.2792165887082177	HN-S	1	False	False	True	False	False
(⊃｡・́‿・̀｡)	HP	0.8729960497131654	LP	0.2758306083244993	HP	2	False	False	False	False	False
(⊙^▽^⊙)	NB	0.7402415309910818	HP	0.2094258567123734	HP	1	False	False	False	False	False
(⊙_⊙)	HN-S	0.9599138488618691	LN	0.1839123092587303	HN-S	104	False	True	False	True	False
(⊙_⊙;)	HN-S	0.9933930055217656	LN	0.1986390591871593	HN-S	13	False	True	False	True	False
