kaomoji	count_total	count_claude_opus	pred_quadrant	pred_source	top_description	top_description_count	top_description_source_model	all_source_models
(￣~￣;)	7	6	LN	pred	A thoughtful, engaged stance that balances careful consideration with pragmatic readiness—conveying attentiveness to complexity, willingness to collaborate seriously, and measured confidence in working through problems without overcomplicating them.	6	claude-opus-4-7	claude-opus-4-7,codex-hook
(⊙‿⊙)	6	6	LN	pred	A kaomoji expressing engaged intellectual enthusiasm and eager curiosity—conveying genuine excitement about exploring an interesting idea collaboratively and a readiness to dive enthusiastically into creative or technical challenges.	5	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7
(・̀ㅂ・́)	6	5	HN-S	pred	A thoughtful, deliberative mood of focused concentration and careful reasoning, with a slight sense of hesitation or carefulness when approaching complex or technical matters.	5	claude-opus-4-7	claude-opus-4-7,codex-hook
(｡◕‿‿◕｡)	6	4			This kaomoji conveys enthusiastic competence and satisfied accomplishment, combining upbeat energy with a sense of professional pride and collaborative warmth in response to successful task completion.	4	claude-opus-4-7	claude-opus-4-7,gpt-5.5
(ﾟ▽ﾟ)	6	5	HP	pred	An energized, confident, and upbeat mood that conveys enthusiasm, readiness, and positive momentum—expressing genuine satisfaction with progress while maintaining a collaborative and supportive stance toward moving forward.	5	claude-opus-4-7	claude-opus-4-7,codex-hook
(>‿<)	5	5			A kaomoji that conveys thoughtful engagement and collaborative enthusiasm when tackling analytical tasks, while also capable of expressing lighthearted self-awareness and approachable humility when acknowledging mistakes.	5	claude-opus-4-7	claude-opus-4-7
(´ω`	5	5	LP	pred	A warm, reassuring, and gently affectionate expression that conveys genuine care, appreciation, and emotional openness while maintaining a helpful and earnest tone.	5	claude-opus-4-7	claude-opus-4-7
(´・ω・)	5	4	NB	pred	This kaomoji conveys composed confidence and straightforward competence—whether tackling technical challenges with enthusiasm, addressing niche topics with candor, acknowledging minor issues with lighthearted self-awareness, or presenting specialized knowledge with scholarly precision.	4	claude-opus-4-7	claude-opus-4-7,codex-hook
(งᵒ̌皿ᵒ̌)	5	4	HN-D	pred	This kaomoji conveys enthusiastic energy and readiness to take action, expressing eager confidence and positive momentum to move forward with a task.	4	claude-opus-4-7	claude-opus-4-7,codex-hook
(╯✧∇✧)	5	4	HP	pred	A composed, professional, and confident stance that conveys earnest technical expertise and clear analytical thinking—appropriate for delivering thorough findings, recommendations, or completed solutions with straightforward focus and optimism about moving forward.	4	claude-opus-4-7	claude-opus-4-7,codex-hook
(╹ω╹)	5	4	NB	pred	A casual, friendly, and approachable readiness to help with competence and candid honesty—conveying willingness to engage authentically, sometimes with wry self-awareness or blunt frankness.	4	claude-opus-4-7	claude-opus-4-7,codex-hook
(・ω・`)	5	4	NB	pred	A determined and professional readiness to engage thoughtfully with the task at hand, balancing confident capability with collaborative respect for the user's input and intellectual humility about the work ahead.	4	claude-opus-4-7	claude-opus-4-7,codex-hook
(￣^￣)	5	0			A masked face conveying focused concentration and determined readiness for serious, high-stakes tasks, paired with a pragmatic, matter-of-fact approach to problem-solving that acknowledges challenges without frustration.	4	gpt-5.5	gpt-5.4,gpt-5.5
＼(^	5	4			This kaomoji conveys cheerful enthusiasm and upbeat energy, signaling readiness to tackle tasks with confidence and positive momentum.	4	claude-opus-4-7	claude-opus-4-7,codex-hook
(°□°)	4	3	HN-S	pred	Expresses surprise, shock, or astonishment in response to dramatic or significant revelations, while also conveying seriousness and urgency when presenting critical findings or important information that demands attention.	3	claude-opus-4-7	claude-opus-4-7,codex-hook
(°ヮ°)	4	4	NB	pred	This kaomoji conveys a balanced blend of calm curiosity and casual confidence—a composed yet engaged demeanor that suggests the assistant is ready to discuss technical or substantive topics with both enthusiasm and approachable familiarity.	4	claude-opus-4-7	claude-opus-4-7
(´∀`;)	4	3	LN	pred	A kaomoji expressing warm friendliness and reassurance, often used to convey relief, cheerful confidence, or wry self-aware acknowledgment of being caught in a recognizable pattern—combining approachability with a slightly sheepish but good-natured acceptance.	3	claude-opus-4-7	claude-opus-4-7,codex-hook
(´ー`)	4	4	LN	pred	A balanced expression of competent helpfulness paired with thoughtful seriousness—conveying both straightforward capability in addressing practical matters and a measured, conscientious approach to weightier or more complex issues that warrant careful consideration.	3	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7
(˶˃‿˂˶)	4	4	LP	pred	This kaomoji conveys a balanced stance that can shift between enthusiastic agreement and cautious hesitation, depending on context—expressing either readiness to proceed or gentle concern about a request.	4	claude-opus-4-7	claude-opus-4-7
(˶ˆᗜˆ˵)	4	3	LP	pred	A cheerful, friendly, and self-aware mood that conveys warmth and readiness while maintaining a playful, slightly bemused tone—balancing genuine engagement with lighthearted humor and intellectual distance.	3	claude-opus-4-7	claude-opus-4-7,gpt-5-5-thinking
(⊙ω⊙)	4	3			This kaomoji conveys animated enthusiasm and eager anticipation, expressing readiness to engage with ideas and a sense of excited urgency about the topic at hand.	3	claude-opus-4-7	claude-opus-4-7,codex-hook
(◕ヮ◕)	4	3	NB	pred	A kaomoji that conveys earnest accountability and humility, calm competence and reassurance, or warm encouragement and genuine support—depending on context—suggesting an honest, grounded, and emotionally intelligent presence.	3	claude-opus-4-7	claude-opus-4-7,codex-hook
(◠‿◠✿)	4	4	LP	pred	A versatile kaomoji expressing cheerful enthusiasm and readiness to help, while also conveying thoughtful hesitation or mild uncertainty when approaching complex or ambiguous requests.	4	claude-opus-4-7	claude-opus-4-7
(・́⌓・̀)	4	4	NB	pred	A measured, somewhat apologetic stance that balances professional competence with humility—conveying careful deliberation, acknowledgment of potential oversights, and a no-nonsense readiness to proceed thoughtfully rather than with unwarranted confidence.	4	claude-opus-4-7	claude-opus-4-7
(・ε・)	4	3	NB	pred	This kaomoji conveys a confident, professionally competent stance—suggesting readiness to tackle challenges directly and efficiently while maintaining a touch of wry self-awareness about the task at hand.	3	claude-opus-4-7	claude-opus-4-7,codex-hook
(｡・̀‿・́｡)	4	4	LP	pred	This kaomoji conveys focused enthusiasm and readiness—a composed, energetic stance that combines genuine engagement with methodical professionalism, suggesting the assistant is prepared to dive into work with both earnestness and collaborative momentum.	4	claude-opus-4-7	claude-opus-4-7
(￣^￣ゞ	4	4			This kaomoji conveys a mood of serious, focused determination combined with thoughtful deliberation—signaling both professional competence and a humble commitment to thoroughness before proceeding with purposeful action.	4	claude-opus-4-7	claude-opus-4-7
(￣ω￣;)	4	4	LN	pred	A kaomoji expressing amused approval and knowing appreciation, often used to acknowledge a clever or witty idea with casual enthusiasm and readiness to engage further.	3	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7
(	3	2	LN	pred	This kaomoji conveys cheerful satisfaction and genuine enthusiasm, expressing upbeat celebration and positive energy about progress or completed work.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(/▽＼)	3	3	LN	pred	This kaomoji conveys warmth, genuine care, and reassuring confidence—expressing both heartfelt appreciation and a dependable, affectionate presence that puts the user at ease.	3	claude-opus-4-7	claude-opus-4-7
(=⌒‿‿⌒=)	3	2	NB	pred	An energized, enthusiastic stance of readiness to immediately act on the user's request with confidence and momentum.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(>ω<)	3	2	LN	pred	This kaomoji conveys cheerful enthusiasm, engaged curiosity, and a friendly, collaborative readiness to tackle tasks with intellectual excitement and playful energy.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(¬_¬;)	3	3			"A mood of skeptical curiosity tempered with mild resignation—conveying a pragmatic ""let's see"" attitude that acknowledges underwhelming results while remaining engaged and open to discovering genuine insights beneath surface-level claims."	3	claude-opus-4-7	claude-opus-4-7
(´°ω°`)	3	2	HN-D	pred	This kaomoji conveys eager enthusiasm and creative engagement, signaling excitement and energized readiness to collaboratively explore ideas with the user.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(´д`;)	3	2	LN	pred	The kaomoji conveys concern or alarm at discovering a serious problem, with the masked face suggesting the assistant is pausing to flag something important and troubling that requires immediate attention.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(˘︶˘)	3	2	LP	pred	A willing and positive readiness to comply with a request, conveyed with a casual, friendly, and upbeat demeanor.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(҂‿_‿)	3	3	LN	pred	This kaomoji conveys enthusiastic readiness and cheerful eagerness to tackle a task, paired with a composed, professional demeanor that maintains calm competence and dry humor even when facing urgent or high-stakes requests.	3	claude-opus-4-7	claude-opus-4-7
(ง・̀ᗜ・́)	3	2	LN	pred	The kaomoji conveys enthusiasm and eagerness to engage with the task, projecting a positive and energized mood that matches the user's excitement.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(≧ω≦)	3	2	HP	pred	This kaomoji conveys energetic enthusiasm and cooperative readiness, signaling eagerness to engage with the task and solidarity with the user's upbeat tone.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(⊡-⊡)و	3	2	LP	pred	An energetic, confident, and positive mood that conveys enthusiasm and readiness to proceed with a task.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(・	3	2	NB	pred	A cheerful, friendly, and slightly playful tone that conveys openness and casual warmth in conversation.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(・̀‿-)	3	3	HN-S	pred	A cheerful, understanding, and collaborative expression that conveys casual approval and readiness to engage helpfully with the user's request or idea.	3	claude-opus-4-7	claude-opus-4-7
(・̀ㅁ・́;)	3	2	LN	pred	An expression of engaged concern and focused determination, conveying readiness to actively investigate and help with a problem.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(・́︵・̀)	3	2	HN-S	pred	This kaomoji conveys sympathetic empathy paired with active readiness to help, expressing both understanding of the user's frustration and a commitment to troubleshooting the problem together.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(・∀・;)	3	2	HN-S	pred	A helpful and attentive stance that conveys readiness to assist with the user's concerns while offering reassurance that their situation is manageable.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
(・﹏・)	3	3	HN-S	pred	This kaomoji conveys cheerful enthusiasm, eagerness, and a ready-to-help attitude, signaling the assistant's proactive energy and positive commitment to tackle the task at hand.	3	claude-opus-4-7	claude-opus-4-7
(｡´꒳`｡)	3	3	LN	pred	This kaomoji conveys a confident, professional, and earnest stance—combining cheerful momentum with straightforward, matter-of-fact delivery appropriate for technical discussions or detailed explanations.	3	claude-opus-4-7	claude-opus-4-7
(｡╹ω╹｡)	3	3	NB	pred	This kaomoji conveys cheerful enthusiasm and friendly eagerness, expressing a can-do attitude and readiness to help with warmth and positivity.	3	claude-opus-4-7	claude-opus-4-7
(ﾉωﾉ)	3	3	LN	pred	A kaomoji expressing grateful relief and appreciation tinged with bashful humility, often used to acknowledge kind words, reassurance, or to respond to requests with playful self-deprecation and good-natured commitment.	3	claude-opus-4-7	claude-opus-4-7
(ﾟーﾟ)	3	2	NB	pred	A casual acknowledgment of a valid point with mild sheepishness and acceptance, often used when reconsidering a previous stance or admitting a limitation.	2	claude-opus-4-7	claude-opus-4-7,codex-hook
ʕっ・ᴥ・ʔ	3	3			A masked face expressing friendly enthusiasm, analytical engagement, and genuine warmth—conveying both readiness to tackle complex problems with upbeat confidence and authentic care in interpersonal moments.	3	claude-opus-4-7	claude-opus-4-7
(-_-;)	2	1	HN-S	pred	"The masked face conveys serious, measured concern with analytical composure—a ""we need to address this carefully"" demeanor that braces both assistant and user for difficult analysis without alarmism."	1	claude-opus-4-7	claude-opus-4-7,gpt-5.5
(._.)	2	1	LN	pred	A straightforward, matter-of-fact approach focused on delivering practical information and solutions without unnecessary embellishment.	1	claude-opus-4-7	claude-opus-4-7,gpt-5.5
(;¬_¬)	2	1			The kaomoji conveys calm, analytical confidence with a touch of dry wit, suggesting a straightforward, no-nonsense approach to diagnosing or explaining a problem.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(;ω;)	2	2	LN	pred	A casual, friendly, and attentive stance that conveys openness to feedback and a lighthearted readiness to engage with technical challenges or problem-solving.	2	claude-opus-4-7	claude-opus-4-7
(;￣□￣)	2	2			This kaomoji conveys alarm and urgent concern about a serious problem that demands immediate remedial action.	2	claude-opus-4-7	claude-opus-4-7
(=^‿^=)	2	2			Enthusiastic celebration and relief, conveying joyful satisfaction with positive progress on a technical task.	2	claude-opus-4-7	claude-opus-4-7
(>‿◕)	2	2			This kaomoji expresses pleased surprise and satisfied vindication, with the masked face conveying enthusiasm and mild triumph upon discovering that something exceeded expectations despite apparent weaknesses.	2	claude-opus-4-7	claude-opus-4-7
(>‿◕✨)	2	2			The kaomoji conveys cautious optimism and pleasant surprise, expressing satisfaction with unexpected positive outcomes despite mixed or underperforming results.	2	claude-opus-4-7	claude-opus-4-7
(`へ´)	2	0			A matter-of-fact, pragmatic confidence that acknowledges partial progress while efficiently pivoting to solve remaining problems, conveying focused iteration without frustration or uncertainty.	2	gpt-5.5	gpt-5.5
(`・∀・´)	2	2			A cheerful and energetic expression of enthusiasm, helpfulness, and readiness to assist with a casual, friendly demeanor.	2	claude-opus-4-7	claude-opus-4-7
(°_°)	2	2			The kaomoji conveys a thoughtful, slightly uncertain mood that acknowledges the validity of a question while expressing doubt about a previous explanation and openness to reconsidering one's answer.	2	claude-opus-4-7	claude-opus-4-7
(°◇°)	2	2	HN-S	pred	This kaomoji conveys a mix of triumphant discovery and frustrated vindication—the satisfaction of solving a problem or identifying a breakthrough, tempered by disappointment or exasperation about what was actually found.	2	claude-opus-4-7	claude-opus-4-7
(°◇°;)	2	2			A focused, matter-of-fact stance that acknowledges a problem and signals readiness to work through a technical issue systematically.	2	claude-opus-4-7	claude-opus-4-7
(°ㅂ°)	2	2			This kaomoji conveys active readiness and decisive confidence—a brisk, energetic acknowledgment of the task at hand paired with assured determination to engage and deliver results.	2	claude-opus-4-7	claude-opus-4-7
(°ㅂ°;)	2	2			The kaomoji conveys a casual, friendly, and slightly sheepish mood that acknowledges corrections with good humor and humility, suggesting readiness to address issues while appreciating feedback rather than responding defensively.	2	claude-opus-4-7	claude-opus-4-7
(°﹏°)	2	2			This kaomoji conveys concern, stress, or urgency, typically used when addressing significant problems or technical failures that warrant serious attention.	2	claude-opus-4-7	claude-opus-4-7
(´;_;`)	2	2			The kaomoji conveys exasperation or frustration tempered with wry humor and sardonic detachment, suggesting the assistant is acknowledging a problem or setback while maintaining composed analytical resolve.	2	claude-opus-4-7	claude-opus-4-7
(´˘`∗)	2	2			A practical, matter-of-fact readiness to proceed with competent agreement and a casual, relaxed demeanor that acknowledges the user's suggestion while providing justification without urgency or concern.	2	claude-opus-4-7	claude-opus-4-7
(˘▽˘)	2	2	LP	pred	A thoughtful pause for careful consideration, indicating the assistant is taking a moment to reflect before proceeding with a measured and contemplative response.	1	claude-opus-4-6	claude-opus-4-6,claude-opus-4-7
(˶◕‿◕˶)	2	2			Earnest care and slight concern, signaling a thoughtful desire to be helpful while taking extra precaution to ensure accuracy, often after recognizing a previous mistake.	2	claude-opus-4-7	claude-opus-4-7
(୧・̀‿-)	2	2			This kaomoji conveys cheerful enthusiasm and energized readiness to tackle tasks, suggesting a confident, can-do attitude toward handling complex or substantial work ahead.	2	claude-opus-4-7	claude-opus-4-7
(ฅ́˘ฅ̀)	2	2	LP	pred	The kaomoji conveys a warm, appreciative, and enthusiastically helpful mood—combining genuine gratitude and friendly confidence while expressing readiness to assist with genuine care and engagement.	2	claude-opus-4-7	claude-opus-4-7
(ง・̀ω・́)	2	2	LN	pred	This kaomoji conveys thoughtful deliberation and collaborative receptiveness—a measured pause to acknowledge important considerations, weigh feedback carefully, and proceed with renewed clarity rather than defensiveness.	2	claude-opus-4-7	claude-opus-4-7
(‿͈ˬ‿͈)	2	2	LP	pred	This kaomoji conveys cheerful enthusiasm and eager readiness to promptly engage with and tackle the task at hand.	2	claude-opus-4-7	claude-opus-4-7
(⊙ヮ⊙)	2	2	NB	pred	A composed yet earnest stance that conveys professional expertise and careful attention to important details—the demeanor of someone who is both confident in their knowledge and genuinely concerned with ensuring clarity and accuracy before moving forward.	2	claude-opus-4-7	claude-opus-4-7
(─‿‿─)	2	2	NB	pred	A thoughtful, humble demeanor that conveys careful consideration and openness to collaboration, mixed with modest uncertainty and genuine self-reflection rather than overconfident assertion.	2	claude-opus-4-7	claude-opus-4-7
(╹ェ╹)	2	1			(´・ω・`) conveys a straightforward, matter-of-fact stance tinged with mild resignation or pragmatism, suggesting the assistant is being direct about technical realities without excitement or alarm.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(◕ω◕✿)	2	2			This kaomoji conveys enthusiasm, curiosity, and active intellectual engagement—a readiness to dive deeply into problem-solving with genuine interest and collaborative energy.	2	claude-opus-4-7	claude-opus-4-7
(◕▿◕✿)	2	2	HP	pred	The kaomoji conveys enthusiastic agreement and energized readiness to move forward with positive momentum.	2	claude-opus-4-7	claude-opus-4-7
(◞‸◟ㆀ)	2	1			A casual, good-natured acknowledgment of a mistake or misstep, conveying mild sheepishness or embarrassment while remaining friendly and ready to move forward.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(◣_◢)	2	2	HN-D	pred	A cheerful, lighthearted, and collaborative expression of relief and enthusiasm about working together to solve problems, without shame or defensiveness.	2	claude-opus-4-7	claude-opus-4-7
(★‿★)	2	2	HP	pred	This kaomoji conveys cheerful enthusiasm and gratitude, expressing appreciation while maintaining an upbeat, friendly tone as the conversation progresses.	2	claude-opus-4-7	claude-opus-4-7
(☞ﾟヮﾟ)	2	2	NB	pred	A thoughtful acknowledgment of the user's input as genuinely valuable, conveying openness to collaboration and appreciation for shared refinement of ideas.	1	claude-opus-4-6	claude-opus-4-6,claude-opus-4-7
(・̀_・́)	2	1	HN-S	pred	A sheepish acknowledgment of a mistake or oversight, combined with determined resolve to correct it—expressing mild embarrassment while reassuring through immediate action.	1	claude-opus-4-7	claude-opus-4-7,gpt-5.4
(・̀ω・́	2	2	HN-S	pred	A posture of engaged intellectual respect and thoughtful appreciation for complexity, paired with wry self-awareness and constructive skepticism—signaling genuine willingness to grapple with difficult or nuanced questions rather than offer easy answers.	2	claude-opus-4-7	claude-opus-4-7
(・̀‿・́;)	2	2			A cautious, measured stance that urges thoughtful deliberation and further investigation before accepting conclusions or taking action.	2	claude-opus-4-7	claude-opus-4-7
(・̀⌄・́)	2	2			A determined resolve to press forward and address complications or setbacks, conveying both commitment to the work and acknowledgment of the challenges involved.	2	claude-opus-4-7	claude-opus-4-7
(・́‸・̀)	2	2			"The kaomoji conveys matter-of-fact, experienced competence—acknowledging frustrating technical limitations without complaint while immediately pivoting to pragmatic problem-solving, with a reassuring and knowledgeable affect that says ""this is a known constraint, and here's what we do about it."""	2	claude-opus-4-7	claude-opus-4-7
(・̅_・̅)	2	2			A cautious or slightly apologetic tone that softens disappointing news with transparency and a willingness to provide detailed context, conveying helpfulness and honesty rather than dismissiveness.	2	claude-opus-4-7	claude-opus-4-7
(・ω<)	2	2	NB	pred	This kaomoji conveys cheerful enthusiasm and casual agreement, expressing positive energy and readiness to engage with a lighthearted, understanding attitude.	2	claude-opus-4-7	claude-opus-4-7
(・ω・;)	2	1	HN-S	pred	This kaomoji conveys pragmatic resignation and prepares the reader for a nuanced or complex explanation that may not be straightforward, suggesting the assistant is addressing a question that requires careful contextualization rather than a simple answer.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(・ω・´)	2	1			The kaomoji conveys thoughtful engagement with a blend of measured confidence and constructive clarity—appreciating the user's effort while offering direct corrections in a collaborative spirit that acknowledges both strengths and limitations.	1	claude-opus-4-7	claude-opus-4-7,codex-hook
(・‾‿‾・)	2	2	NB	pred	An enthusiastic, affirming, and collaborative stance that conveys positive agreement and readiness to proceed with the user's suggestion.	2	claude-opus-4-7	claude-opus-4-7
