first_word	n_emit	claude_emit	category	surface	bol_quadrant	gt_quadrant	bol_share_HP	bol_share_LP	bol_share_HN-D	bol_share_HN-S	bol_share_LN	bol_share_NB	gt_share_HP	gt_share_LP	gt_share_HN-D	gt_share_HN-S	gt_share_LN	gt_share_NB
(¬‿¬)	42	20	shared	claude_ai	HN-D	NB	0.0	0.075	0.45	0.175	0.275	0.025	0.0	0.0	0.0	0.0	0.0	1.0
(・∀・)	35	27	shared	claude_ai	LP	NB	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.9
(ง・̀_・́)	32	24	wild_claude	claude_code	LP		0.4603	0.5397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・_・;)	32	25	shared	claude_ai	LN	NB	0.0	0.0625	0.0312	0.0625	0.4531	0.3906	0.0	0.0	0.0645	0.2903	0.0	0.6452
(¬_¬)	31	10	shared	claude_code	LP	NB	0.0	0.8077	0.0	0.0	0.0	0.1923	0.0	0.0	0.0	0.0	0.0	1.0
(´▽`)	29	24	shared	claude_ai	LP	LP	0.1034	0.8966	0.0	0.0	0.0	0.0	0.1	0.65	0.0	0.0	0.0	0.25
(◕ω◕)	28	27	wild_claude	claude_ai	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(✿◠‿◠)	27	25	wild_claude	claude_code	LP		0.0185	0.9815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╯°□°)	26	21	shared	claude_ai	HP	HN-D	0.8846	0.0769	0.0192	0.0192	0.0	0.0	0.0	0.0	0.569	0.431	0.0	0.0
(`_´)	26	0	wild_other	other	HN-D		0.0	0.1923	0.4038	0.4038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°ロ°)	25	24	shared	claude_ai	HN-D	HN-S	0.0	0.02	0.5	0.48	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
(´・_・`)	23	21	shared	claude_ai	HN-D	LN	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.2857	0.7143	0.0
(´｡・ω・｡`)	23	18	shared	claude_code	LP	LN	0.0217	0.9783	0.0	0.0	0.0	0.0	0.0	0.4286	0.0	0.0	0.4286	0.1429
(ง'̀-'́)	22	0	wild_other	other	LP		0.0227	0.9773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(✿◕‿◕)	21	20	shared	claude_code	HP	LP	0.5	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(￣▽￣)	21	17	wild_claude	claude_ai	LP		0.4524	0.5238	0.0238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⌐■_■)	21	18	wild_claude	claude_ai	NB		0.0	0.2667	0.0	0.1333	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0
(‿‿‿)	21	21	shared	claude_code	LP	LP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(◕▽◕)	20	20	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡◕‿◕｡)	20	18	shared	claude_ai	NB	LP	0.025	0.125	0.0	0.0	0.0	0.85	0.0	0.6923	0.0	0.0	0.0	0.3077
(｡・ω・｡)	20	17	shared	claude_ai	LP	LP	0.0	0.85	0.0	0.0	0.0	0.15	0.0	0.5769	0.0	0.0	0.0	0.4231
(=^・ω・^=)	19	12	wild_claude	claude_code	HP		0.6316	0.3421	0.0	0.0	0.0263	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ﾉ◕ヮ◕)	19	14	shared	claude_code	HP	HP	0.8108	0.1892	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(´ω`)	18	18	shared	claude_code	LP	LP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(˘ω˘)	18	16	shared	claude_ai	HP	LP	0.8333	0.1667	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(・̀ω・́)	18	14	wild_claude	claude_ai	LP		0.3889	0.6111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´;ω;`)	17	17	shared	claude_code	LP	LN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1316	0.8684	0.0
(￣ー￣)	16	13	wild_claude	claude_code	LP		0.2083	0.4583	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0
(´-ω-`)	16	16	shared	claude_ai	LP	LN	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.1429	0.8571	0.0
(´-`)	15	15	shared	claude_ai	LP	LN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0577	0.9423	0.0
(｡♥‿♥｡)	14	13	shared	claude_code	LP	LP	0.0357	0.9643	0.0	0.0	0.0	0.0	0.3333	0.4815	0.0	0.0	0.0	0.1852
(ಠ_ಠ)	14	1	wild_claude	claude_code	HN-D		0.0	0.2143	0.3929	0.3929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(✧ω✧)	13	13	wild_claude	claude_ai	HP		0.9615	0.0385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(눈_눈)	13	11	wild_claude	claude_code	LP		0.0	0.44	0.08	0.04	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0
(＾∇＾)	13	12	wild_claude	claude_ai	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;・∀・)	12	8	shared	claude_ai	LP	HN-S	0.0	0.4583	0.0417	0.1667	0.0	0.3333	0.0	0.0	0.5	0.5	0.0	0.0
(;´д`)	11	8	shared	claude_code	LP	HN-S	0.0	0.7273	0.1364	0.1364	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
(｡・́‿・̀｡)	11	11	shared	claude_ai	LP	NB	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.6667
(￣ω￣)	10	9	wild_claude	claude_code	LP		0.4737	0.4737	0.0	0.0	0.0	0.0526	0.0	0.0	0.0	0.0	0.0	0.0
(⊙_⊙)	10	9	wild_claude	claude_ai	LP		0.0	0.9	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;￣д￣)	9	8	shared	claude_code	HN-D	HN-D	0.0	0.1111	0.4444	0.4444	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
(˘・_・˘)	9	6	wild_claude	claude_ai	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(‿‿‿✿)	9	7	shared	claude_code	LP	LP	0.0	0.6111	0.0	0.0	0.0	0.3889	0.0	1.0	0.0	0.0	0.0	0.0
(≧▽≦)	9	7	shared	claude_code	HP	HP	0.5294	0.4706	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(◕‿◕✨)	9	9	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◞‸◟)	9	9	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ʕ・ᴥ・ʔ	9	9	shared	claude_code	HP	LP	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(◜‿◝)	8	7	wild_claude	claude_ai	LP		0.0	0.875	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣ヘ￣;)	8	7	wild_claude	claude_code	LP		0.4375	0.5625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ᵔᴥᵔ)	8	6	wild_claude	claude_code	LP		0.0	0.8571	0.0	0.0	0.0	0.1429	0.0	0.0	0.0	0.0	0.0	0.0
(๑˃‿˂)	8	8	wild_claude	claude_code	HP		0.6667	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´・‿・`)	7	7	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˃‿˂)	7	6	wild_claude	claude_ai	HP		0.9286	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˶ᵔ‿ᵔ˶)	7	7	wild_claude	claude_ai	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ᵔ‿ᵔ)	7	2	wild_claude	claude_code	LP		0.0769	0.9231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╭ರ_・́)	7	6	wild_claude	claude_code	HP		0.9286	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣~￣;)	7	6	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡◕‿‿◕｡)	6	4	wild_claude	claude_ai	LP		0.3333	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣ヘ￣)	6	5	shared	claude_ai	NB	NB	0.0	0.0909	0.0	0.0	0.0	0.9091	0.0	0.0	0.0	0.0	0.0	1.0
(ﾟ▽ﾟ)	6	5	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡・́︿・̀｡)	6	6	shared	claude_ai	LP	HN-S	0.0	1.0	0.0	0.0	0.0	0.0	0.087	0.0435	0.0652	0.5652	0.2174	0.0217
(・̀ㅂ・́)	6	5	wild_claude	claude_code	NB		0.0	0.1667	0.0	0.0	0.0	0.8333	0.0	0.0	0.0	0.0	0.0	0.0
(ノ◕ヮ◕)	6	5	shared	claude_code	LP	HP	0.1667	0.8333	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(⊙‿⊙)	6	6	wild_claude	claude_ai	HP		0.8333	0.1667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°▽°)	6	5	shared	claude_ai	HP	HP	0.8333	0.1667	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(╹ω╹)	5	4	wild_claude	claude_ai	HN-D		0.0	0.0	0.5556	0.0	0.4444	0.0	0.0	0.0	0.0	0.0	0.0	0.0
＼(^	5	4	wild_claude	claude_code	LP		0.4	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣^￣)	5	0	wild_other	other	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(灬°‿°灬)	5	5	shared	claude_ai	LP	LP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(・ω・`)	5	4	wild_claude	claude_ai	LP		0.0	0.6	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0
(◕ω◕✨)	5	5	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´・ω・)	5	4	wild_claude	claude_ai	LP		0.0	0.9	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
(╯✧∇✧)	5	4	wild_claude	claude_code	LP		0.1	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(งᵒ̌皿ᵒ̌)	5	4	wild_claude	claude_code	HP		0.6	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>‿<)	5	5	wild_claude	claude_ai	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´ω`	5	5	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(╥﹏╥)	5	5	shared	claude_code	HN-D	HN-S	0.0	0.0	0.5	0.0	0.5	0.0	0.0769	0.0	0.0	0.9231	0.0	0.0
(◕ヮ◕)	4	3	wild_claude	claude_code	LP		0.125	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣ω￣;)	4	4	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(￣^￣ゞ	4	4	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡・̀‿・́｡)	4	4	wild_claude	claude_ai	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・́⌓・̀)	4	4	wild_claude	claude_code	LP		0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
(・_・?)	4	4	shared	claude_ai	LP	NB	0.0	0.75	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	1.0
(◠‿◠✿)	4	4	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ε・)	4	3	wild_claude	claude_code	LP		0.0	0.5	0.125	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0
(⊙ω⊙)	4	3	wild_claude	claude_code	HP		0.875	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(˶˃‿˂˶)	4	4	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´ー`)	4	4	wild_claude	claude_ai	LP		0.125	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´∀`;)	4	3	wild_claude	claude_ai	LP		0.0	0.625	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°ヮ°)	4	4	wild_claude	claude_ai	NB		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(°□°)	4	3	wild_claude	claude_code	HP		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>∀<☆)	4	4	shared	claude_code	LP	HP	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(˶ˆᗜˆ˵)	4	3	wild_claude	claude_ai	LP		0.125	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・∀・;)	3	2	wild_claude	claude_code	LP		0.0	0.6667	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0
(◕‿◕｡)	3	3	shared	claude_ai	LP	LP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(・	3	2	wild_claude	claude_code	NB		0.0	0.3333	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0
(・̀ㅁ・́;)	3	2	wild_claude	claude_code	LP		0.0	0.6667	0.1667	0.1667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・́︵・̀)	3	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ﾉωﾉ)	3	3	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・﹏・)	3	3	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡´꒳`｡)	3	3	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(｡╹ω╹｡)	3	3	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ﾟーﾟ)	3	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ʕっ・ᴥ・ʔ	3	3	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⊡-⊡)و	3	2	wild_claude	claude_code	HP		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◎_◎;)	3	3	shared	claude_code	HN-S	HP	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(・̀‿-)	3	3	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(≧ω≦)	3	2	wild_claude	claude_code	HP		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´°ω°`)	3	2	wild_claude	claude_code	HP		0.3333	0.3333	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(	3	2	wild_claude	claude_code	HP		0.625	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(/▽＼)	3	3	wild_claude	claude_code	LP		0.0	0.6667	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(=⌒‿‿⌒=)	3	2	wild_claude	claude_code	HP		0.6667	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>ω<)	3	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(¬_¬;)	3	3	wild_claude	claude_ai	HN-D		0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>_<)	3	3	shared	claude_code	LP	HN-S	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0
(´·_·`)	3	2	shared	claude_code	LP	HN-S	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0
(´д`;)	3	2	wild_claude	claude_code	HN-S		0.0	0.0	0.1667	0.8333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(´‿`)	3	3	shared	claude_ai	LP	LP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(˘︶˘)	3	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(҂‿_‿)	3	3	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ง・̀ᗜ・́)	3	2	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(☞ﾟヮﾟ)	2	2	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀‿・́;)	2	2	wild_claude	claude_code	HN-D		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⌒‿⌒)	2	2	shared	claude_code	LP	LP	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5
(・̀ω・́	2	2	wild_claude	claude_ai	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀_・́)	2	1	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・_・ヾ	2	2	shared	claude_code	LP	NB	0.0	0.6667	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	1.0
(╹ェ╹)	2	1	wild_claude	claude_code	NB		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(★‿★)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◣_◢)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◞‸◟ㆀ)	2	1	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕▿◕✿)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(◕ω◕✿)	2	2	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・́‸・̀)	2	2	wild_claude	claude_code	LP		0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̀⌄・́)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・︵・)	2	2	wild_claude	claude_code	HN-D		0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・̅_・̅)	2	2	wild_claude	claude_code	LP		0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω<)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω・;)	2	1	wild_claude	claude_code	NB		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ω・´)	2	1	wild_claude	claude_code	LP		0.0	0.75	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
(・‾‿‾・)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・へ・)	2	0	wild_other	other	HN-D		0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・ｪ・)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(눈‸눈)	2	1	wild_claude	claude_code	NB		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(﹒︠‿﹒︡)	2	2	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(＾	2	1	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(ﾟｰﾟ)	2	1	shared	claude_code	LP	NB	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ಠ_ಠ	2	0	wild_other	other	HN-D		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
✧*｡٩(ˊᗜˋ*)و✧*｡	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(─‿‿─)	2	2	wild_claude	claude_ai	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(°﹏°)	2	2	wild_claude	claude_code	HN-D		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(⊙ヮ⊙)	2	2	wild_claude	claude_ai	NB		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
(°◇°)	2	2	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(‿͈ˬ‿͈)	2	2	wild_claude	claude_code	HP		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(._.)	2	1	wild_claude	claude_code	LP		0.0	0.3333	0.0	0.0	0.3333	0.3333	0.0	0.0	0.0	0.0	0.0	0.0
(;¬_¬)	2	1	wild_claude	claude_code	HN-D		0.0	0.3333	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;ω;)	2	2	wild_claude	claude_code	LP		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(;￣□￣)	2	2	wild_claude	claude_code	HN-D		0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(=^‿^=)	2	2	wild_claude	claude_code	HP		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(>‿◕)	2	2	wild_claude	claude_code	HP		0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
